"Step","opt.learning_rate: 0.01 - grads/update_norm","opt.learning_rate: 0.01 - grads/update_norm__MIN","opt.learning_rate: 0.01 - grads/update_norm__MAX","opt.learning_rate: 0.005 - grads/update_norm","opt.learning_rate: 0.005 - grads/update_norm__MIN","opt.learning_rate: 0.005 - grads/update_norm__MAX","opt.learning_rate: 0.003 - grads/update_norm","opt.learning_rate: 0.003 - grads/update_norm__MIN","opt.learning_rate: 0.003 - grads/update_norm__MAX","opt.learning_rate: 0.001 - grads/update_norm","opt.learning_rate: 0.001 - grads/update_norm__MIN","opt.learning_rate: 0.001 - grads/update_norm__MAX"
"1","4.654193678463571","4.638010368562045","4.6686789297611275","2.327391859882245","2.319262158073664","2.3345210522763793","1.3967725927851466","1.3918649083806336","1.400959226576668","0.4667324379963844","0.4650502065725575","0.4679758256963553"
"2","3.4718696725389067","3.446199935226482","3.504484090315753","1.7203220993570052","1.6880163860629664","1.7667205183610182","1.1076338069949982","1.0868295891535789","1.1367782275554048","0.4304942271910225","0.4290068997237541","0.43360075615727045"
"3","2.8677830059982132","2.8312849577093364","2.9128928400450795","1.558344388215462","1.5023980562338082","1.5906448210015152","1.0237955846923876","0.9991917460816716","1.04457605705246","0.4073106505226553","0.403922957445254","0.4132682333095892"
"4","2.770272206723249","2.675020477683978","2.8170772096263526","1.5150465701666767","1.4678995021460388","1.5370792055706166","0.9917136899731709","0.9740528436076002","1.0078082674548905","0.38887028897808795","0.38263352939217143","0.39705681654695435"
"5","2.759888524927123","2.604346553256935","2.8124097281446176","1.5276369377217152","1.4727263392243979","1.5516621391537275","0.9758609653455352","0.9549745533427952","0.9919055578232369","0.3747876861444915","0.3668613239226664","0.3840403331839208"
"6","2.565764794292447","2.4656968910186765","2.735121397194524","1.5619274181674598","1.4998560625549033","1.5972088723647027","0.9734119688330903","0.9502999746054879","0.9904156804487163","0.364517992266422","0.3561723658209094","0.37331730644831923"
"7","2.2913640797627544","2.208071234147369","2.438878776513288","1.6030310876284137","1.5526196860531152","1.6446523433454971","0.9844052339294201","0.9594828207142492","1.0049409188900646","0.3575350370776472","0.3489687178297946","0.36515096219666476"
"8","1.964880011881816","1.8271578079569013","2.118021214726066","1.6152634513024609","1.5485076557909443","1.6544445210795504","1.0030726859944157","0.9751772393283057","1.0271384783875739","0.3533495023158225","0.34387543535591936","0.3611229214480211"
"9","1.8828304726849823","1.7539861787375177","2.058288037838739","1.5548874256072036","1.459027354771599","1.6315108488696564","1.0259961248317797","0.9971629668844803","1.0505891315971374","0.3511682214176831","0.34107718083648175","0.3585786333067511"
"10","1.8189816082821444","1.7273268688266958","2.0172855654470836","1.4475536785920142","1.3951541408756676","1.5369395163668003","1.0499755902684376","1.023617429852315","1.0749716575511836","0.3501583209908599","0.3396028959328568","0.35699527706668505"
"11","1.7933485138357494","1.6976735890370243","2.004396897574781","1.3305912791939778","1.263718157596699","1.3659089128908863","1.0643747862993855","1.0489870997707977","1.0908551356310283","0.349934427423905","0.33905921321762744","0.3565024816755793"
