"Step","model.ln_type: mlp-pre - train/loss","model.ln_type: mlp-pre - train/loss__MIN","model.ln_type: mlp-pre - train/loss__MAX","model.ln_type: pre - train/loss","model.ln_type: pre - train/loss__MIN","model.ln_type: pre - train/loss__MAX","model.ln_type: attn-pre - train/loss","model.ln_type: attn-pre - train/loss__MIN","model.ln_type: attn-pre - train/loss__MAX","model.ln_type: off - train/loss","model.ln_type: off - train/loss__MIN","model.ln_type: off - train/loss__MAX"
"57","3.0408947467803955","2.9171371459960938","3.255302667617798","1.4843821048736572","1.4545458555221558","1.5472248792648315","1.342802381515503","1.287514567375183","1.3745051622390747","4.214540004730225","4.19342565536499","4.231385231018066"
"58","2.983684253692627","2.8572394847869873","3.2032101154327393","1.411922574043274","1.3831866979599","1.475176453590393","1.250792145729065","1.1962333917617798","1.2825031280517578","4.201376152038574","4.179693698883057","4.2186479568481445"
"59","2.925582265853882","2.796490430831909","3.1502676010131836","1.340540885925293","1.312585473060608","1.4038326740264893","1.1600085020065307","1.106526494026184","1.191171407699585","4.188120937347412","4.165923595428467","4.205795764923096"
"60","2.866683101654053","2.7350146770477295","3.096519947052002","1.2699042081832885","1.2427074909210205","1.3335527181625366","1.0708553314208984","1.0182024240493774","1.1018553972244263","4.17475643157959","4.152135372161865","4.19279146194458"
"61","2.806977939605713","2.6728503704071045","3.0418736934661865","1.2003695487976074","1.1740553379058838","1.264056921005249","0.9836079239845276","0.9330075979232788","1.0145740509033203","4.161277008056641","4.138331890106201","4.179652690887451"
"62","2.7464982986450197","2.6099772453308105","2.9862911701202393","1.1323267698287964","1.1069434881210327","1.1957011222839355","0.8987449049949646","0.8499297499656677","0.9303143620491028","4.147671222686768","4.124459743499756","4.166409492492676"
"63","2.6854591846466063","2.5465095043182373","2.929811477661133","1.0652673482894897","1.0410971641540527","1.1282447576522827","0.8165948748588562","0.7700788378715515","0.8486802577972412","4.13391752243042","4.11045503616333","4.1530327796936035"
"64","2.6242674827575683","2.483107328414917","2.8725318908691406","0.9998331189155578","0.9759189486503601","1.0619220733642578","0.7374400138854981","0.6940538287162781","0.7698296904563904","4.1200024604797365","4.096317768096924","4.1394853591918945"
"65","2.562058353424072","2.420436382293701","2.814600706100464","0.9362351417541503","0.9118092656135559","0.9977951645851135","0.6621838331222534","0.6213893294334412","0.69516521692276","4.105914497375489","4.082064151763916","4.1257805824279785"
"66","2.499215078353882","2.3560516834259033","2.7557756900787354","0.8742663264274597","0.8495862483978271","0.9348055124282837","0.5907044291496277","0.5533168315887451","0.6231041550636292","4.091626167297363","4.067660808563232","4.111904621124268"
"67","2.4366680145263673","2.289116859436035","2.6961350440979004","0.8143587589263916","0.7899341583251953","0.873416543006897","0.5234957814216614","0.4899848997592926","0.5552914142608643","4.077105236053467","4.053072929382324","4.0977935791015625"
"68","2.37247953414917","2.224971055984497","2.6359519958496094","0.7564748406410218","0.7317208051681519","0.8144133687019348","0.4617080271244049","0.4313163459300995","0.49333715438842773","4.062317371368408","4.038264274597168","4.083410263061523"
"69","2.308080291748047","2.1603848934173584","2.5750837326049805","0.7008430480957031","0.6763882637023926","0.7570677995681763","0.4045977294445038","0.3780880868434906","0.4349719285964966","4.047217273712159","4.02315092086792","4.068744659423828"
"70","2.243968105316162","2.093181848526001","2.5135998725891113","0.6476089119911194","0.6233932375907898","0.7019932270050049","0.352856308221817","0.33008521795272827","0.3826025128364563","4.0317559242248535","4.007661819458008","4.053767204284668"
"71","2.179024410247803","2.0284531116485596","2.4515297412872314","0.5967669248580932","0.5727219581604004","0.64938884973526","0.3066672503948212","0.2868568003177643","0.3352148234844208","4.015882396697998","3.991757869720459","4.038440227508545"
"72","2.1141046047210694","1.9627656936645508","2.3891022205352783","0.5485717415809631","0.5252197980880737","0.598986029624939","0.26549155414104464","0.24742616713047028","0.2927026152610779","3.9995598793029785","3.975377082824707","4.0227556228637695"
"73","2.0490097761154176","1.8960278034210205","2.3269779682159424","0.5030108273029328","0.48009228706359863","0.5512224435806274","0.22951456308364868","0.21314817667007446","0.25553226470947266","3.982776165008545","3.9584760665893555","4.006652355194092"
"74","1.9840269565582276","1.831040382385254","2.265909433364868","0.46022228598594667","0.43800291419029236","0.5060778260231018","0.19834197461605071","0.18359385430812836","0.2229916900396347","3.9655785083770754","3.9410135746002197","3.9900686740875244"
"75","1.9185423612594605","1.765031099319458","2.202033281326294","0.4202118694782257","0.39885884523391724","0.46356400847435","0.17144627571105958","0.15848137438297272","0.19482140243053436","3.947867441177368","3.9229321479797363","3.972944736480713"
"76","1.852629590034485","1.699113130569458","2.136068820953369","0.38297942876815794","0.36239755153656006","0.4238743484020233","0.14856703877449035","0.1369706243276596","0.17079710960388184","3.9295209884643554","3.904242515563965","3.955199956893921"
"77","1.787673330307007","1.6341444253921509","2.0743424892425537","0.3485998272895813","0.3290467858314514","0.3868033289909363","0.12903695404529572","0.11888492107391357","0.15005174279212952","3.9108291149139403","3.8851215839385986","3.936788320541382"
"78","1.7226105213165284","1.5689767599105835","2.010258674621582","0.3168910324573517","0.29832369089126587","0.35248321294784546","0.1125184342265129","0.1035068929195404","0.13248296082019806","3.8915639877319337","3.866178274154663","3.917656421661377"
"79","1.6572129011154175","1.5040254592895508","1.9451375007629395","0.2879090070724487","0.2704285979270935","0.32091018557548523","0.09844286590814591","0.09043465554714203","0.1173631027340889","3.8717817306518554","3.846966505050659","3.8977549076080322"
"80","1.5923800706863402","1.4403516054153442","1.8832859992980957","0.26148641705513","0.24510294198989868","0.2918614149093628","0.08651676326990128","0.0792778730392456","0.10449308902025223","3.8513545036315917","3.8254446983337402","3.877103090286255"
"81","1.5281269311904908","1.3774961233139038","1.8189365863800049","0.23749814927577972","0.2222062200307846","0.26539346575737","0.07641268521547318","0.06994233280420303","0.09345818310976028","3.830528974533081","3.804994583129883","3.855823040008545"
