"Step","model.output_scaling: 0.75 - ntk/relative_distance","model.output_scaling: 0.75 - ntk/relative_distance__MIN","model.output_scaling: 0.75 - ntk/relative_distance__MAX","model.output_scaling: 1.5 - ntk/relative_distance","model.output_scaling: 1.5 - ntk/relative_distance__MIN","model.output_scaling: 1.5 - ntk/relative_distance__MAX","model.output_scaling: 1.25 - ntk/relative_distance","model.output_scaling: 1.25 - ntk/relative_distance__MIN","model.output_scaling: 1.25 - ntk/relative_distance__MAX","model.output_scaling: 1 - ntk/relative_distance","model.output_scaling: 1 - ntk/relative_distance__MIN","model.output_scaling: 1 - ntk/relative_distance__MAX","model.output_scaling: 0.5 - ntk/relative_distance","model.output_scaling: 0.5 - ntk/relative_distance__MIN","model.output_scaling: 0.5 - ntk/relative_distance__MAX"
"4800","379.8747131347656","165.18357849121094","618.4370727539062","120.65398025512695","60.22382736206055","184.99093627929688","175.68633728027345","65.93409729003906","243.03062438964844","261.2488311767578","91.99192810058594","402.303955078125","686.0397155761718","403.24505615234375","1048.4468994140625"
"5000","386.5302673339844","163.35403442382812","640.162353515625","121.59882202148438","64.25474548339844","188.77273559570312","172.6070297241211","68.0365982055664","249.5796661376953","270.62642059326174","91.6926040649414","428.6632385253906","689.07734375","407.0719299316406","1062.3819580078125"
"5200","393.2971252441406","161.5753631591797","662.1455078125","123.0405990600586","67.69617462158203","192.5327606201172","173.0918731689453","73.47352600097656","256.928466796875","283.62099304199216","93.11991882324219","469.74102783203125","692.5139343261719","411.17333984375","1075.578125"
"5400","400.0588073730469","159.86016845703125","684.4678344726562","124.49783782958984","69.17829132080078","196.3204345703125","176.1931625366211","78.7040023803711","265.4444580078125","302.18756103515625","95.67729187011719","535.609619140625","696.139453125","415.33148193359375","1088.685791015625"
"5600","406.7263671875","158.21969604492188","707.574462890625","125.27791595458984","68.324951171875","200.07321166992188","181.63263549804688","81.91313171386719","275.487060546875","327.60681610107423","98.41472625732422","632.22900390625","699.8447021484375","420.1258544921875","1099.683837890625"
"5800","413.3641723632812","156.71888732910156","733.0223999023438","125.08292083740234","66.88947296142578","203.83148193359375","187.8267395019531","83.94746398925781","286.4657897949219","358.13741912841795","100.6254653930664","750.1853637695312","704.0405639648437","425.0423278808594","1110.98095703125"
"6000","420.40357971191406","155.3424835205078","763.3980712890625","124.4665626525879","61.72755813598633","207.48489379882812","193.03671112060547","85.51171112060547","298.1029357910156","381.74083709716797","102.32563018798828","829.3453369140625","708.25302734375","430.0201110839844","1120.247802734375"
"6200","428.2934326171875","154.1236572265625","800.1942749023438","124.84632720947266","55.64263916015625","215.56324768066406","197.95074310302735","86.77230072021484","310.8365783691406","371.1975158691406","101.83340454101562","734.2919311523438","712.82548828125","435.05877685546875","1129.056640625"
"6400","437.2260009765625","152.90811157226562","844.6371459960938","127.27983474731445","51.489070892333984","229.42811584472656","203.3862060546875","87.77915954589844","324.82757568359375","320.08972015380857","94.19898223876953","553.6751098632812","717.5747863769532","440.0908508300781","1136.236328125"
"6600","447.5747406005859","151.58543395996094","901.1278686523438","129.84234390258788","48.23686599731445","238.419921875","208.5417495727539","88.31395721435547","335.9706726074219","288.3544036865234","81.29261779785156","599.9136962890625","723.0430236816406","441.1189270019531","1143.2840576171875"
"6800","459.33457336425784","150.1587371826172","971.7494506835938","131.21912689208983","45.21253204345703","243.06402587890625","216.28733520507814","88.60306549072266","351.6502685546875","284.1726593017578","71.299072265625","639.162353515625","729.0907104492187","442.8971862792969","1150.01123046875"
"7000","473.4189971923828","148.75743103027344","1062.785888671875","132.61144561767577","42.13102722167969","248.9279022216797","229.07401275634766","88.83583068847656","378.85601806640625","286.83898849487304","63.7265739440918","675.4000244140625","735.6308959960937","445.6789855957031","1155.9254150390625"
"7200","488.76036071777344","147.426513671875","1165.812744140625","134.92053756713867","39.07278060913086","260.08935546875","243.91866302490234","89.04204559326172","414.04693603515625","288.6047729492187","57.681427001953125","704.832275390625","742.9271606445312","449.4281921386719","1162.73193359375"
"7400","499.34736328125","146.1251983642578","1240.6488037109375","137.10283813476562","36.55432891845703","271.0155334472656","260.5706451416016","89.22052001953125","460.5401611328125","288.7589286804199","53.25704574584961","734.3356323242188","750.5131896972656","453.7090759277344","1170.0496826171875"
"7600","504.78643188476565","144.83909606933594","1283.9478759765625","138.24307022094726","35.22593307495117","276.8695983886719","277.7273880004883","89.37113952636719","516.7365112304688","290.7637351989746","50.32734298706055","777.033447265625","757.7307495117187","458.42254638671875","1175.71337890625"
"7800","503.8101013183594","143.42327880859375","1289.4991455078125","138.0331237792969","34.89332580566406","279.3072509765625","291.3155914306641","89.49637603759766","568.18798828125","294.8780776977539","48.517616271972656","826.8310546875","764.13349609375","463.9361572265625","1189.958251953125"
"8000","502.0951629638672","141.73471069335938","1285.56591796875","135.41201782226562","34.906028747558594","280.7297058105469","298.20897979736327","89.59984588623047","601.9132080078125","299.3346420288086","47.45037078857422","867.2794799804688","769.388720703125","471.42498779296875","1217.117431640625"
"8200","504.3107391357422","139.22193908691406","1305.6295166015625","132.02488632202147","34.98640823364258","281.9690246582031","299.23416290283205","89.68519592285156","620.5486450195312","303.0639450073242","46.85395050048828","893.91650390625","774.4003356933594","481.54510498046875","1246.694091796875"
"8400","508.6942993164063","133.1242218017578","1345.8695068359375","129.5051597595215","35.071529388427734","283.0970764160156","296.4183380126953","89.7557373046875","630.9412231445312","306.662899017334","46.53336715698242","911.0269165039062","778.6313415527344","467.2571105957031","1276.696533203125"
"8600","513.2225158691406","119.95710754394531","1388.5506591796875","127.343994140625","35.15039825439453","284.0865478515625","291.6144271850586","89.81438446044922","637.1710205078125","310.5296806335449","46.3685417175293","922.4828491210938","780.29248046875","437.8168029785156","1306.3359375"
"8800","515.9083816528321","102.28064727783203","1419.87841796875","125.07282867431641","35.22233581542969","284.9289245605469","286.16717834472655","89.8635482788086","641.1859741210938","314.3828460693359","46.28990173339844","930.4490356445312","781.32841796875","406.0715637207031","1335.4779052734375"
"9000","516.8662124633789","87.90026092529297","1439.4434814453125","122.54109802246094","35.28833770751953","285.6336669921875","281.00099029541013","89.90522003173828","643.9458618164062","317.63669357299807","46.25851058959961","936.1304321289062","784.7563232421875","385.24078369140625","1365.284423828125"
"9200","516.2961120605469","79.81942749023438","1452.1904296875","119.70208969116212","35.349430084228516","286.2178649902344","283.1720962524414","89.94095611572266","645.965576171875","319.67109375","46.25416564941406","940.2544555664062","790.6598205566406","370.1604919433594","1394.0899658203125"
"9400","515.343424987793","75.51594543457031","1461.497802734375","116.52597274780274","35.406436920166016","286.7001037597656","297.3187789916992","89.97196197509766","647.5385131835938","320.8248489379883","46.266761779785156","943.29150390625","798.7767333984375","354.0039978027344","1424.9228515625"
"9600","516.1595840454102","72.95862579345703","1468.9947509765625","113.08119583129883","35.45998764038086","287.0976257324219","303.44022979736326","89.99915313720703","648.83642578125","321.7640655517578","46.28739929199219","945.5582275390625","808.7327392578125","336.49102783203125","1455.864501953125"
"9800","517.0580169677735","71.23416137695312","1475.419921875","109.66336517333984","35.510581970214844","287.4252624511719","305.58814849853513","90.02318572998047","649.9586181640625","322.58875503540037","46.30751419067383","947.2717895507812","814.285205078125","319.594970703125","1481.2152099609375"
"10000","516.7755828857422","69.91573333740234","1481.1129150390625","107.45806427001953","35.558650970458984","287.69537353515625","306.92845611572267","90.04454803466797","650.9609375","323.12828903198243","46.326595306396484","948.5806884765625","806.1337219238281","305.26885986328125","1501.525146484375"
