"Step","model.ln_type: mlp-pre - alpha_req/alpha_test","model.ln_type: mlp-pre - alpha_req/alpha_test__MIN","model.ln_type: mlp-pre - alpha_req/alpha_test__MAX","model.ln_type: pre - alpha_req/alpha_test","model.ln_type: pre - alpha_req/alpha_test__MIN","model.ln_type: pre - alpha_req/alpha_test__MAX","model.ln_type: attn-pre - alpha_req/alpha_test","model.ln_type: attn-pre - alpha_req/alpha_test__MIN","model.ln_type: attn-pre - alpha_req/alpha_test__MAX","model.ln_type: off - alpha_req/alpha_test","model.ln_type: off - alpha_req/alpha_test__MIN","model.ln_type: off - alpha_req/alpha_test__MAX"
"8200","1.8346086152193493","1.2705208468367428","4.059199076625454","2.4924475896964395","1.44451552145957","3.461977817213107","1.3232747031678465","1.3017194539742825","1.3436793249795909","1.5665339793873243","1.3083967318016259","2.071012176277017"
"8400","1.9311904953356607","1.2736076881259608","3.006325049686206","3.115294510949031","1.2612425298036258","7.750101995592542","1.314463639452719","1.2874003476724096","1.3360399959891922","1.4378664641031091","1.2967408510947809","1.7977167162787877"
"8600","1.7009342145941357","1.297187652082642","3.2175293209429743","1.9838113105510486","1.2858240185938474","3.5355804470400463","1.8576724666666684","1.315816574261408","4.014316605724186","1.4305403553374259","1.2841433897506356","1.7966382956562317"
"8800","1.3107743230625353","1.258498595946899","1.3860069000261368","1.8343475337477617","1.2482234149220723","3.1183955914801986","1.3311996964442812","1.2959292618262488","1.3888615998563094","1.646236455381524","1.2832990933789903","2.3001194445677493"
"9000","1.7439832639474904","1.3599828961299836","2.3875082972676225","1.9794280741811174","1.2554857003521476","3.6011400539152114","1.3276667172313101","1.2970142911568048","1.3813431987332943","1.4742536368083214","1.2856788904958456","1.7972393878160262"
"9200","1.3127225928676345","1.2609225988132229","1.374849412011763","1.7730296938877188","1.2595925243451171","2.54474707616275","1.3203852700361602","1.291009656937777","1.365840085830249","1.625168982571914","1.3193023397629566","2.296422046350827"
"9400","1.5906909962025992","1.321850088014432","2.466100769960928","1.7012050734261037","1.2548969095622298","3.2495225585814222","1.3255100844448218","1.2971292645846069","1.3442021884954038","1.5650855988258991","1.3290393966787237","2.3779363678160417"
"9600","5.7184767488353705","1.2738096262724536","22.276017289054312","2.1648456509357596","1.2754954609370548","3.004167102145035","1.3282857365393526","1.30049771449577","1.3481420613978095","1.8819941839192285","1.3395318422361164","2.402374441309678"
"9800","1.3244062903346652","1.26880564668472","1.3831895095407962","2.9096234270153745","1.2553709627462566","6.678311510836441","1.3282332948065712","1.2868594044454595","1.3585455705500167","1.7117772797633688","1.3313141256981154","2.418616278362095"
"10000","2.1503818071030545","1.2556813696861115","4.041893646413198","1.8251619846917393","1.2653941741271075","2.723138313237768","1.708028887038612","1.3005349048072987","3.2396028739916405","1.7092649499690709","1.315866871566398","2.428679738134886"
