"Step","model.output_scaling: 0.75 - train/loss","model.output_scaling: 0.75 - train/loss__MIN","model.output_scaling: 0.75 - train/loss__MAX","model.output_scaling: 1.5 - train/loss","model.output_scaling: 1.5 - train/loss__MIN","model.output_scaling: 1.5 - train/loss__MAX","model.output_scaling: 1.25 - train/loss","model.output_scaling: 1.25 - train/loss__MIN","model.output_scaling: 1.25 - train/loss__MAX","model.output_scaling: 1 - train/loss","model.output_scaling: 1 - train/loss__MIN","model.output_scaling: 1 - train/loss__MAX","model.output_scaling: 0.5 - train/loss","model.output_scaling: 0.5 - train/loss__MIN","model.output_scaling: 0.5 - train/loss__MAX"
"11","4.706007099151611","4.705059051513672","4.70781946182251","4.691728210449218","4.689817905426025","4.694411754608154","4.69587459564209","4.694213390350342","4.698356628417969","4.700607872009277","4.699288368225098","4.702785015106201","4.712254905700684","4.711453437805176","4.713674068450928"
"12","4.703228759765625","4.702162265777588","4.705270767211914","4.687209129333496","4.685084819793701","4.690349578857422","4.691881561279297","4.690008640289307","4.694783687591553","4.697197532653808","4.695694446563721","4.6997246742248535","4.7101640701293945","4.7093915939331055","4.71168851852417"
"13","4.700353336334229","4.699143409729004","4.702704906463623","4.682441234588623","4.68009614944458","4.686075687408447","4.68767147064209","4.685582637786865","4.691039562225342","4.693621253967285","4.691921710968018","4.696563243865967","4.708018112182617","4.707249641418457","4.709682941436768"
"14","4.697324275970459","4.695943355560303","4.700057029724121","4.677367877960205","4.674756050109863","4.681520938873291","4.683181953430176","4.680850028991699","4.687047958374023","4.689812564849854","4.687895774841309","4.693212985992432","4.705814933776855","4.704964637756348","4.707691192626953"
"15","4.694078731536865","4.692492485046387","4.697246551513672","4.671936416625977","4.6689772605896","4.676639080047607","4.6783592224121096","4.675724506378174","4.6827616691589355","4.685711669921875","4.683535575866699","4.689610958099365","4.703523635864258","4.702559471130371","4.705694198608398"
"16","4.690556144714355","4.688714981079102","4.6942057609558105","4.666085624694825","4.662680149078369","4.671386241912842","4.673145008087158","4.670116424560547","4.678140163421631","4.6812639236450195","4.678758144378662","4.685716152191162","4.701089477539062","4.699957370758057","4.70362663269043"
"17","4.686701107025146","4.684534072875977","4.690889835357666","4.659743976593018","4.655797004699707","4.665711402893066","4.667471599578858","4.663946151733398","4.6731367111206055","4.676410102844239","4.673480987548828","4.681492328643799","4.698449897766113","4.697087287902832","4.701408863067627"
"18","4.682457828521729","4.679873466491699","4.687267780303955","4.652840709686279","4.64827823638916","4.6595635414123535","4.661265468597412","4.657149791717529","4.667693614959717","4.671081256866455","4.667628288269043","4.6768903732299805","4.695547103881836","4.693887710571289","4.698976516723633"
"19","4.677762889862061","4.6746602058410645","4.683300495147705","4.645315456390381","4.64008903503418","4.652892589569092","4.654458141326904","4.649681568145752","4.661755084991455","4.665203285217285","4.661135673522949","4.671848297119141","4.692328071594238","4.690295219421387","4.696289539337158"
"20","4.672543144226074","4.668827056884766","4.678928852081299","4.637120246887207","4.631215572357178","4.645642280578613","4.646992111206055","4.641514301300049","4.655264377593994","4.658705615997315","4.653954029083252","4.6663007736206055","4.68873929977417","4.686240196228027","4.693320274353027"
"21","4.6667248725891115","4.6623215675354","4.674080848693848","4.628216171264649","4.621665000915527","4.637742519378662","4.638822555541992","4.632646083831787","4.648156642913818","4.651531314849853","4.646058559417725","4.660187721252441","4.684720897674561","4.681650638580322","4.690035343170166"
"22","4.660242938995362","4.655110836029053","4.668686389923096","4.618582153320313","4.6114726066589355","4.629121780395508","4.6299182891845705","4.623106956481934","4.640357494354248","4.643637084960938","4.637458324432373","4.653443336486816","4.680204105377197","4.6764607429504395","4.686381816864014"
"23","4.65305004119873","4.6471991539001465","4.662681579589844","4.608230018615723","4.600714206695557","4.619732856750488","4.620273590087891","4.612963676452637","4.631801128387451","4.634998893737793","4.628206729888916","4.64599609375","4.6751175880432125","4.670621871948242","4.682291507720947"
"24","4.6451208114624025","4.638645648956299","4.65600061416626","4.597206974029541","4.588998317718506","4.609563827514648","4.609920787811279","4.602327823638916","4.622450351715088","4.625622081756592","4.618403434753418","4.63778018951416","4.669396018981933","4.664111614227295","4.6776909828186035"
"25","4.636458969116211","4.6295084953308105","4.648575782775879","4.5855841636657715","4.5764479637146","4.598632335662842","4.598925495147705","4.591323375701904","4.612302780151367","4.615549755096436","4.608188629150391","4.62875509262085","4.662991142272949","4.656946659088135","4.672512531280518"
"26","4.62710657119751","4.6193108558654785","4.640350818634033","4.573444366455078","4.56343936920166","4.586980819702148","4.5873716354370115","4.578999996185303","4.601380348205566","4.60485954284668","4.597020149230957","4.618916034698486","4.655879974365234","4.649206638336182","4.666693210601807"
"27","4.617142295837402","4.608556747436523","4.631298065185547","4.560871124267578","4.5501298904418945","4.5746917724609375","4.575349235534668","4.566253185272217","4.589739799499512","4.593644809722901","4.585329532623291","4.608290672302246","4.648074626922607","4.640481948852539","4.66016960144043"
"28","4.606662845611572","4.597444534301758","4.621432781219482","4.547952938079834","4.536667346954346","4.561898231506348","4.562947559356689","4.553314685821533","4.577491760253906","4.581999397277832","4.573430061340332","4.5969438552856445","4.639624309539795","4.630993843078613","4.652877330780029"
"29","4.595760822296143","4.586176872253418","4.610811710357666","4.534793376922607","4.523159503936768","4.548765659332275","4.550266170501709","4.540309429168701","4.564795970916748","4.570014095306396","4.561433792114258","4.5849995613098145","4.630611228942871","4.620988845825195","4.644771099090576"
"30","4.5845235824584964","4.574892044067383","4.599545001983643","4.5214861869812015","4.509644031524658","4.535467147827148","4.537411117553711","4.52728796005249","4.551839828491211","4.557793712615966","4.549398899078369","4.572641372680664","4.621125411987305","4.610701084136963","4.635843753814697"
"31","4.573050689697266","4.5636444091796875","4.58781099319458","4.508093643188476","4.4961042404174805","4.522162914276123","4.524465656280517","4.514233589172363","4.538817405700684","4.545443439483643","4.537334442138672","4.560078144073486","4.611247253417969","4.600361347198486","4.626148700714111"
"32","4.561450099945068","4.552435874938965","4.575836181640625","4.494644832611084","4.482509613037109","4.508956432342529","4.511478328704834","4.501102924346924","4.52589225769043","4.533038997650147","4.52495002746582","4.547515392303467","4.601058769226074","4.590108871459961","4.6158013343811035"
