"Step","model.output_scaling: 1.5 - grads/update_norm","model.output_scaling: 1.5 - grads/update_norm__MIN","model.output_scaling: 1.5 - grads/update_norm__MAX","model.output_scaling: 1.25 - grads/update_norm","model.output_scaling: 1.25 - grads/update_norm__MIN","model.output_scaling: 1.25 - grads/update_norm__MAX","model.output_scaling: 0.75 - grads/update_norm","model.output_scaling: 0.75 - grads/update_norm__MIN","model.output_scaling: 0.75 - grads/update_norm__MAX","model.output_scaling: 0.5 - grads/update_norm","model.output_scaling: 0.5 - grads/update_norm__MIN","model.output_scaling: 0.5 - grads/update_norm__MAX","model.output_scaling: 1 - grads/update_norm","model.output_scaling: 1 - grads/update_norm__MIN","model.output_scaling: 1 - grads/update_norm__MAX"
"1","0.47915181859411504","0.47912235856968083","0.47917038162040565","0.47906161107939155","0.4790069832919289","0.4791276028781673","0.4788586930314729","0.47875665270835527","0.4789406463245178","0.47870066657007193","0.4786040149341708","0.47883049287705937","0.4789711102446333","0.47886463366423665","0.4790627935686782"
"2","0.4150143849275668","0.4114993959177369","0.4199205404689425","0.42142616291112595","0.4170172359049992","0.4252197947510706","0.43824422861558743","0.43584552757540423","0.44051093783816553","0.445968054218193","0.4446518495558853","0.4467936014516197","0.4294329121201633","0.42558910929266097","0.43219927340128056"
"3","0.3789371537817007","0.3745962656370174","0.3848618352625733","0.3878467835202135","0.3832521035919564","0.3923984453695094","0.4111637133471301","0.40819086833463186","0.41433392521034573","0.4245546390400734","0.4219072157358275","0.42648554890835566","0.39871708577550524","0.3943427593287569","0.40211117535969343"
"4","0.35455298250591644","0.35066678871094836","0.3602076102154591","0.36480096401041423","0.36118454067787253","0.3690984013571082","0.3912722066382698","0.3880114294844977","0.3961051827296222","0.4080613307487651","0.4048499808349061","0.4111878940673053","0.3769486619852288","0.373219027581726","0.3817186257414504"
"5","0.3425841407198501","0.33742210620825613","0.3475353059559491","0.35290861661694006","0.34820082058522583","0.35731151359087515","0.37856837914488656","0.3753034428029786","0.38343213326533665","0.39586914319133015","0.39230161029906097","0.3993715539105595","0.3647630219821101","0.3609028354413038","0.36943977915644416"
"6","0.33764771687454437","0.332605427089617","0.34183585184709814","0.3476814084178619","0.34295282272875255","0.35172212411623566","0.37128032468788563","0.3670896093676223","0.3758035265913818","0.38686132189737743","0.38327435297766","0.3911675422132189","0.3588119772986986","0.35468863223945846","0.36279041501690856"
"7","0.3357858117251567","0.3316635225025386","0.3393164375501651","0.3454478330612091","0.34163028612535284","0.3490948429504704","0.36725982898063325","0.36292474598915353","0.37197459160300833","0.38029195560932455","0.3758574284210484","0.3853404842797874","0.3560045086795458","0.3523736688966419","0.3599214991685996"
"8","0.33511608457987035","0.3314399978552948","0.33843838157221257","0.34451600610746425","0.34109581701123864","0.3479625666944578","0.36507756387391066","0.36143329987940687","0.3696944819346393","0.3758280443167284","0.3713533877101083","0.3813839838750376","0.3546407857503444","0.3514533155551888","0.3583123273172557"
"9","0.33506093395954617","0.33103473855456966","0.3383823338437531","0.34440113377123016","0.3406094856583637","0.3478531800672779","0.36398654717014234","0.36025601555065434","0.3684940541657548","0.37318402870119705","0.3691607748606441","0.37885221144929127","0.3541918386814521","0.3510420519956203","0.3577898793215636"
"10","0.3356357186805655","0.3310366565984342","0.3391143607444863","0.3449226903491536","0.3405779236194935","0.34851723839125975","0.36372401375050234","0.36030709526682986","0.3681304099107495","0.37189586635706817","0.36863888941380474","0.3775922930463412","0.354450749730833","0.3509265579295655","0.3581577040849741"
"11","0.336854938896764","0.33194771159478154","0.34070901646431045","0.34612425520631607","0.34140310401972573","0.3500054979373151","0.3643478730883586","0.3610009157373145","0.36884870510581697","0.37169811774917977","0.3688662746184671","0.3777322241946336","0.3554617766369918","0.3515591521588007","0.3592993484386349"
"12","0.3387246255721771","0.3338217771182302","0.3431068662544565","0.3479709738654882","0.34326855612899937","0.35212738246245584","0.36591368579948036","0.36210783352393644","0.37075185407759825","0.3724245633414297","0.3695230742478682","0.3788924437458137","0.3572506331905203","0.35313057512624013","0.36131660746982613"
"13","0.34115134786449064","0.3364303034084346","0.34596588839416126","0.35042920060032345","0.34595768729231474","0.3547987199918286","0.36831357589536584","0.36415789104847046","0.3735583934279203","0.37406119039267016","0.37093044266596176","0.3808321778623202","0.35977141105570604","0.35557009558996083","0.36426348807038317"
"14","0.34405926350346067","0.33949824387588884","0.34905769636087464","0.35351378182990584","0.34922660837323505","0.35812783329133546","0.3715052728802166","0.3671217450124298","0.3771543138664253","0.3766838751228766","0.37336285946476483","0.3835940565208983","0.36298994200980267","0.358807516567839","0.36796796795237763"
"15","0.3474606330594387","0.34295876019151783","0.3525185416467933","0.35719229279991815","0.35298474358005","0.3620262355968637","0.37545263855853384","0.3710674333122821","0.3814264400098525","0.38024199135609615","0.37678526551254304","0.38717883001504183","0.36687225678730706","0.36277598670445893","0.3721987384798002"
"16","0.35133576385910337","0.3468129810310415","0.356459224358304","0.361388487738305","0.3571559155070386","0.36632712557285746","0.38003344945096196","0.3757970365069125","0.38608130626907416","0.38460245709417773","0.38112269737080146","0.3914957676390096","0.3713373056654089","0.3672567020558299","0.37678518631002106"
"17","0.35560831453697833","0.3510514312011263","0.3607822955040792","0.3660148722551707","0.36166175596413264","0.3709824124270183","0.3851167069079595","0.3809548831550385","0.39095519157606284","0.3896127304264564","0.3861067719037834","0.3963925416019423","0.3762577326310165","0.3720485715888491","0.3815856931894819"
"18","0.36018313725436185","0.35562959359051477","0.3653359775337564","0.3709547376977046","0.3664713640721179","0.3758816157964027","0.3905962040942156","0.38636815679277464","0.39601730517319894","0.3951106269639926","0.39147360260676023","0.40164885993241595","0.38152227435352076","0.3770971261184102","0.3865449903863311"
"19","0.364958015785057","0.3604515659016298","0.37000196035467253","0.37604128352531035","0.3715104724983989","0.38082668611624876","0.3963552628642935","0.3920201067549486","0.401247036292218","0.40099368437055044","0.39716036268152777","0.4071129341707695","0.38697997819319163","0.38238129436180324","0.39157362578380417"
"20","0.3697489958760575","0.36531711162005687","0.37461724546229536","0.3811085682732293","0.37663552891663465","0.3856645345864374","0.4022410298044017","0.3978877552222794","0.4065762364991722","0.40720309907131735","0.40324140117219986","0.4127140101536466","0.392437208524626","0.3878233972171493","0.39657014358659937"
"21","0.37434854275901375","0.36978272463236944","0.3789836581715983","0.3859970387769788","0.3817105167227082","0.39027672878829234","0.40806265187362045","0.4038645985788949","0.41192905815081676","0.4136250170337771","0.4096598325108686","0.41842393600757954","0.3977109261812245","0.3932954654926766","0.40159052642127907"
"22","0.3785988420587763","0.37362905726636014","0.38297148576218276","0.3905290292080302","0.38575635907155487","0.39474952799933727","0.41361644318529056","0.40982858761427704","0.4170929182379784","0.4201072906833995","0.41628277498637123","0.42428457934834624","0.4026211124630235","0.39855192020199104","0.40676591183723987"
"23","0.38235233763622467","0.37696919143897517","0.38686083277846356","0.39450503267287407","0.3890023385660684","0.39898033773474406","0.41870029400600195","0.41416022396955304","0.42238171788639406","0.42641688418892454","0.4229266300807101","0.43013413094481445","0.4069738128015781","0.40187768818872516","0.4113944551757646"
"24","0.38547909118522317","0.3797532587276238","0.3900479999471295","0.3977381538181949","0.39155917532079787","0.4023642076168522","0.42304344860396137","0.4170713072907923","0.4270463726734702","0.4322592888447371","0.4279176146195623","0.4355147690351776","0.4105342412842039","0.40441600435771846","0.41516549344508114"
"25","0.38790887038340527","0.3821488978151366","0.3923748952728329","0.4001492894531875","0.39367119061614436","0.4046920651860834","0.4263520724564828","0.41903437287508505","0.43056474578614007","0.4373683437218663","0.43121560075118975","0.44017454977984527","0.4131363814824381","0.40624941069849724","0.4177381678443279"
"26","0.38964602530891584","0.38421888098241924","0.3939144879722883","0.401741448370401","0.39549254718107946","0.406030424167184","0.4284472498261196","0.4202248831923686","0.43256235626221046","0.4414317552499611","0.4331905405445577","0.44496274967629124","0.4147186725353267","0.4076564780368995","0.41900550724076885"
"27","0.39073499752077323","0.38579136638437905","0.3947802486385987","0.4025372672265982","0.3968265701767698","0.406507429585521","0.42928390031397035","0.4209617728214674","0.43289925328272866","0.4440818340461486","0.43390642112426153","0.4482538730679739","0.41527287590937967","0.40861541994101713","0.41909276064881007"
"28","0.3913274442372827","0.38685497579222405","0.39524616951683605","0.4027117444683189","0.39762199146116045","0.4064884298312027","0.4288857043840264","0.4212138281592588","0.43315691453439054","0.4450918685219804","0.43381326612206","0.4494396969802721","0.4149685852225199","0.40899484557641497","0.418372162039015"
"29","0.39154442480299617","0.387535769294151","0.39548584598709313","0.4024458027412939","0.39801866304014494","0.40623366301537156","0.42748392769546706","0.42082486219114784","0.43300156386376437","0.4444586904844142","0.43338275803207915","0.4506704830519198","0.41408793569452396","0.40889620828592815","0.41741011254208593"
"30","0.3913888144835593","0.3878312609485092","0.39549953174490515","0.4017810975089426","0.39797924865387535","0.4058193606764623","0.4253901068332901","0.4198276514690528","0.4315232510569128","0.4423110486004604","0.4325594982586119","0.4505814579443624","0.41277048553944695","0.408349401112644","0.4162370632288579"
"31","0.3908769282572162","0.38770686011801647","0.39527724178050416","0.40075740537992594","0.3970569552101364","0.40524914388790667","0.4228335170430837","0.4182885541169438","0.4288732522425909","0.43902563966334557","0.4311255548804781","0.44871512372502564","0.41109974050885906","0.40717428558295127","0.4150097828855774"
"32","0.3900292817543227","0.3864301976493321","0.39470334259661255","0.3994133642624542","0.3951317727307753","0.4043441572639584","0.4200203420589868","0.4158954786385829","0.42543492352823736","0.43509535727276755","0.4290442068186634","0.4452248434206407","0.4091718126361162","0.4045837931604582","0.41371330155398145"
"33","0.38886277332093544","0.38494854161355563","0.3937222506145823","0.39779422493315314","0.3931375685408183","0.40298491229561584","0.41711370343816545","0.4122650925263145","0.42163550624242935","0.4309302858310874","0.42643710512643307","0.4404786844987653","0.4070611212560424","0.40204695474624796","0.41211520601352614"
"34","0.38737619964351727","0.38340686108759264","0.39226200558097835","0.39593354795634145","0.39122209749668196","0.40114698106949","0.4142503505238834","0.4089421329550635","0.41906903912559734","0.42683624629799455","0.4229199570023966","0.43494068514504114","0.4048195306154259","0.39969721446476014","0.41008600058647404"
"35","0.3856278159534666","0.3818070100586234","0.39054227013919696","0.3938906038037574","0.3893498672383834","0.39907701890876657","0.4115321448784418","0.406036808812178","0.4170497970019564","0.4230404168554519","0.4189352960884654","0.4293462093640725","0.40251626811452795","0.39755110996373794","0.40780048636648036"
"36","0.3836534149929075","0.3800596244936518","0.38877751667203575","0.3916492539624293","0.3873772059222953","0.39692506266334204","0.40901158056124237","0.4035365578260626","0.4149424098625524","0.4196903405751429","0.4155128807416106","0.42425845661973766","0.40012791511591334","0.3954167801156256","0.4053649542620302"
"37","0.38154074520767295","0.37813307389142325","0.38700409815803877","0.38925407432060766","0.385240030797575","0.39471754502556833","0.40659818063582","0.40118366379876014","0.41263190355174745","0.41682769011834864","0.4126443439591435","0.4217528640620047","0.3976212769141539","0.39317316352619797","0.40283039450087155"
"38","0.37942666481124426","0.37622372869401566","0.3852037914984832","0.3868472795906002","0.3831121917063642","0.3925349835640096","0.4041470551833787","0.3987716606579071","0.4100773402862514","0.4143952676892543","0.41017572127985696","0.42036604317992343","0.39507312280547413","0.39089403146252355","0.4002635113261372"
"39","0.3775556669866103","0.37380880999137234","0.3836631601792554","0.38468935214076494","0.38123262965084764","0.39072596039236185","0.4016865592108145","0.39639769032544053","0.4074249187773396","0.41220853909120364","0.4078348311883907","0.4187390276063482","0.39266411744731433","0.38879964056945143","0.39798356896694304"
"40","0.3761220526483819","0.37222448414722237","0.38258346375369773","0.38295888705722375","0.37945079845531887","0.3894647952037626","0.39931575719284673","0.3942450121177384","0.40492313362595744","0.4100535383000903","0.4053701570307299","0.41668809916596533","0.39056707772937393","0.3869502947305036","0.3962397419730297"
