"Step","model.output_scaling: 1.5 - grads/update_norm","model.output_scaling: 1.5 - grads/update_norm__MIN","model.output_scaling: 1.5 - grads/update_norm__MAX","model.output_scaling: 1.25 - grads/update_norm","model.output_scaling: 1.25 - grads/update_norm__MIN","model.output_scaling: 1.25 - grads/update_norm__MAX","model.output_scaling: 1 - grads/update_norm","model.output_scaling: 1 - grads/update_norm__MIN","model.output_scaling: 1 - grads/update_norm__MAX","model.output_scaling: 0.75 - grads/update_norm","model.output_scaling: 0.75 - grads/update_norm__MIN","model.output_scaling: 0.75 - grads/update_norm__MAX","model.output_scaling: 0.5 - grads/update_norm","model.output_scaling: 0.5 - grads/update_norm__MIN","model.output_scaling: 0.5 - grads/update_norm__MAX"
"15","0.1570010947936022","0.15497971266492683","0.1583579480504655","0.22966018307044558","0.22636333303072964","0.23213328234730704","0.36687225678730706","0.36277598670445893","0.3721987384798002","0.6777184471654156","0.6684080111984735","0.684105412835729","1.0914131811204772","1.0655185874069855","1.128804066166637"
"16","0.15754797124864878","0.1554518552396502","0.15894949025242844","0.23100971392060515","0.2276418589625857","0.23367467589129437","0.3713373056654089","0.3672567020558299","0.37678518631002106","0.6825768777690523","0.6697322211959685","0.6892399317926059","1.084918981207844","1.064152024548196","1.1172220336953687"
"17","0.1582134746300517","0.1559687331551506","0.1596708158119044","0.23258698070027184","0.22929695199862785","0.23533489694359144","0.3762577326310165","0.3720485715888491","0.3815856931894819","0.6828604829780834","0.6685576408470332","0.6888502537032258","1.0762381569677746","1.0579001564545127","1.0993286191170872"
"18","0.15897678063628873","0.15657733205349852","0.16049959107276393","0.2343891143904578","0.23125402085932975","0.2372499772829137","0.38152227435352076","0.3770971261184102","0.3865449903863311","0.678367117725618","0.6656442778941577","0.6868251509593158","1.073047946149579","1.0553450141368586","1.0870069364489472"
"19","0.15982792817700248","0.157326201045587","0.16157125395294225","0.2364169620610183","0.23340794806101395","0.2394292230140577","0.38697997819319163","0.38238129436180324","0.39157362578380417","0.670082356788119","0.6610439906961605","0.6813241783586763","1.0752300961423278","1.0519166242183566","1.0949769449494666"
"20","0.1607696705214437","0.15823179906958235","0.16271568778906514","0.238665735316912","0.23568540724953085","0.24184312369564717","0.392437208524626","0.3878233972171493","0.39657014358659937","0.6597476903156576","0.6532281356082091","0.6712264741756595","1.0790681005085125","1.0514418234197553","1.1018803807782718"
"21","0.16180566054475826","0.159284065133764","0.16389698396688074","0.24111916819251747","0.23807521212790117","0.24443990301746368","0.3977109261812245","0.3932954654926766","0.40159052642127907","0.6492245013238934","0.6419194188472325","0.6582003622741468","1.0794492137226173","1.0448641699185064","1.1059388410720203"
"22","0.16293515490357469","0.16046319890761146","0.16511270144354995","0.24376115048687108","0.24060777180933485","0.24717571932628687","0.4026211124630235","0.39855192020199104","0.40676591183723987","0.6393466873455262","0.6307987313195533","0.6476308537381773","1.078481629135873","1.041847313091248","1.1102269153665991"
"23","0.16415422372861402","0.16174099639714226","0.16636492340106654","0.24657651214078097","0.24330932154790452","0.25002971132724605","0.4069738128015781","0.40187768818872516","0.4113944551757646","0.63029619774258","0.62062256776691","0.6406003164040084","1.0788207052387961","1.0439259311889029","1.113981019350278"
"24","0.16545630908081485","0.16308994823387302","0.16773780270034913","0.2495371798800885","0.24618018024113758","0.25298504566356245","0.4105342412842039","0.40441600435771846","0.41516549344508114","0.6226967257160902","0.6127499533702507","0.6335295285085438","1.0824621384371924","1.0516528942718049","1.119877236529881"
"25","0.16683616069388182","0.16449088882430757","0.16915784091688202","0.25260500840557576","0.24919158354585258","0.25600937728363976","0.4131363814824381","0.40624941069849724","0.4177381678443279","0.6166152062434034","0.6073595352367764","0.627179520860678","1.092057968721646","1.0632687683953812","1.1289781806181283"
"26","0.16829302473202615","0.1659361955247805","0.17063683912714564","0.25574481429654206","0.25229700545929185","0.2590874929134153","0.4147186725353267","0.4076564780368995","0.41900550724076885","0.6111243902701199","0.6025906382560556","0.621292138060438","1.1062663134005726","1.0803838906855745","1.1430934376870576"
"27","0.16982615359389855","0.16742915255601112","0.17220001153682032","0.2589135415203484","0.25544770401523254","0.2621971028303989","0.41527287590937967","0.40861541994101713","0.41909276064881007","0.6063112093743342","0.5985000036907662","0.6165730638537247","1.1260718428641867","1.1011585178049907","1.163030919209844"
