"Step","model.output_scaling: 0.75 - grads/update_norm","model.output_scaling: 0.75 - grads/update_norm__MIN","model.output_scaling: 0.75 - grads/update_norm__MAX","model.output_scaling: 1.5 - grads/update_norm","model.output_scaling: 1.5 - grads/update_norm__MIN","model.output_scaling: 1.5 - grads/update_norm__MAX","model.output_scaling: 1.25 - grads/update_norm","model.output_scaling: 1.25 - grads/update_norm__MIN","model.output_scaling: 1.25 - grads/update_norm__MAX","model.output_scaling: 1 - grads/update_norm","model.output_scaling: 1 - grads/update_norm__MIN","model.output_scaling: 1 - grads/update_norm__MAX","model.output_scaling: 0.5 - grads/update_norm","model.output_scaling: 0.5 - grads/update_norm__MIN","model.output_scaling: 0.5 - grads/update_norm__MAX"
"1","0.8259316731908385","0.8227766753867889","0.8282000519556433","0.2086133555052439","0.20794623778717988","0.20903763016960167","0.29969380230918996","0.29858229092572347","0.3004444440992534","0.4667324379963844","0.4650502065725575","0.4679758256963553","1.8448484469246942","1.8374785736423815","1.8502567657142854"
"2","0.7305634679437303","0.7236921493064434","0.7383506734732117","0.20015679081511814","0.19949267829335787","0.20077301782896426","0.28329552072978176","0.2823326722449577","0.28464758975608495","0.4304942271910225","0.4290068997237541","0.43360075615727045","1.516796130720183","1.490576916491799","1.5367631636698489"
"3","0.6827702739649897","0.6697792030631508","0.6940007958339315","0.19368420079225399","0.19282551559633665","0.19474696432831892","0.2714137852889632","0.2701295001075961","0.274217586519854","0.4073106505226553","0.403922957445254","0.4132682333095892","1.3867324179177172","1.3544776283748907","1.4046662761887045"
"4","0.6493879809211336","0.6348405799947876","0.6606785872239244","0.18730248852015205","0.18620303764329652","0.18919747994906874","0.2606019708191939","0.2589194074405137","0.26501536005450416","0.38887028897808795","0.38263352939217143","0.39705681654695435","1.3114245136372662","1.285273031774925","1.333791194728995"
"5","0.6263935867448985","0.6125791562557616","0.6365140636833814","0.1812499310324992","0.17994627701373433","0.1841544658615398","0.2512311936566534","0.2484323323518294","0.2569937088685628","0.3747876861444915","0.3668613239226664","0.3840403331839208","1.2769834261659223","1.2493027585810574","1.3043139619715185"
"6","0.6138735732989831","0.6022496460120458","0.623202804594578","0.17577733807302054","0.17413986944228607","0.1796050434965975","0.24361558883177487","0.23949030652106532","0.25031116714271207","0.364517992266422","0.3561723658209094","0.37331730644831923","1.273995744567395","1.242197747059871","1.3053204213102145"
"7","0.6071923916010178","0.5929703454400529","0.6162706891332036","0.17106892869320323","0.16928590450964487","0.17561739640287227","0.23771712385401833","0.23274254557379323","0.2446718522221262","0.3575350370776472","0.3489687178297946","0.36515096219666476","1.2925359996700387","1.2566493241038221","1.3244977629592982"
"8","0.6035618881941194","0.5881620078734676","0.612033594746881","0.16722711311983282","0.16457330704159667","0.17221689636631088","0.23342971862986733","0.2280662340517615","0.24001434732775376","0.3533495023158225","0.34387543535591936","0.3611229214480211","1.320829575662756","1.2840456976424823","1.3519829585954337"
"9","0.60380891580884","0.5881370146815982","0.6138810189623178","0.1642241786994098","0.16092881158534375","0.16932802027662838","0.23050385394435455","0.2240484836280452","0.23636702441636936","0.3511682214176831","0.34107718083648175","0.3585786333067511","1.3540662015793228","1.3188053794554178","1.3857042344210326"
"10","0.6085453948035457","0.5926206427503127","0.6199225685803569","0.16199050449282865","0.15812280000554185","0.16691351097019141","0.22862411828340207","0.22142647745155572","0.2341693860397912","0.3501583209908599","0.3396028959328568","0.35699527706668505","1.3636763555095686","1.3074734235100334","1.398986408636672"
