"Step","opt.weight_decay: 1.5 - alpha_req/alpha_test","opt.weight_decay: 1.5 - alpha_req/alpha_test__MIN","opt.weight_decay: 1.5 - alpha_req/alpha_test__MAX","opt.weight_decay: 1 - alpha_req/alpha_test","opt.weight_decay: 1 - alpha_req/alpha_test__MIN","opt.weight_decay: 1 - alpha_req/alpha_test__MAX","opt.weight_decay: 0.75 - alpha_req/alpha_test","opt.weight_decay: 0.75 - alpha_req/alpha_test__MIN","opt.weight_decay: 0.75 - alpha_req/alpha_test__MAX","opt.weight_decay: 0.5 - alpha_req/alpha_test","opt.weight_decay: 0.5 - alpha_req/alpha_test__MIN","opt.weight_decay: 0.5 - alpha_req/alpha_test__MAX","opt.weight_decay: 0.2 - alpha_req/alpha_test","opt.weight_decay: 0.2 - alpha_req/alpha_test__MIN","opt.weight_decay: 0.2 - alpha_req/alpha_test__MAX","opt.weight_decay: 0.1 - alpha_req/alpha_test","opt.weight_decay: 0.1 - alpha_req/alpha_test__MIN","opt.weight_decay: 0.1 - alpha_req/alpha_test__MAX"
"2000","2.740314967424692","1.8369672040288496","4.250623777611249","2.645504145524986","2.1093499753976355","3.9051583581870526","2.9540408863078684","2.3608452277859655","3.519762794611697","3.0817025161216893","2.6779958274525715","3.5867992236627777","3.5326028954030617","2.8283389342446625","4.361301368488952","3.2125232316118337","2.6441084009514992","3.5838671707597523"
"2200","2.4795936527058466","1.8073715957952527","3.1695317090502706","2.6786385784978224","2.2161526505619893","3.9285077239489983","2.825226033606703","1.9942769666915294","3.528633037581902","3.088340613177962","2.6539616056936515","3.648678537006728","3.3644487702160957","2.6304550191793235","4.428289840983851","3.257025643188983","2.6477120845565887","3.7766539525886786"
"2400","2.4538484975626895","1.7971505924223963","3.1155998457518197","2.777421062465762","2.230253594647354","4.38990496232068","2.8462537441445876","2.003285936575308","3.622992434151543","3.001107254465995","2.6246521386904966","3.3637336463763554","3.377553896732954","2.6338324582813355","4.448811827682732","3.3168913173582633","2.651204927730423","3.7923002028349297"
"2600","2.472111875314171","1.785355652179309","3.4034392278862384","2.666138296593581","2.218819013454269","3.827618676187092","2.9982575254923542","2.0644660105513264","4.43407373752231","2.9977848559783893","2.5940854851985575","3.3717557737727755","3.385835554159423","2.6364755953685592","4.4504169142040775","3.292537758751172","2.6545113205606707","3.805124612411925"
"2800","2.306595249540133","1.80366949550255","2.788710035059389","2.926213538014513","1.9212152025240476","5.446501283969981","3.182538846121168","2.3119874627529464","4.837665284278569","2.9948534190660294","2.56527400448456","3.3795793880589975","3.3911884210047463","2.6384497248886687","4.441590801308207","3.305901001495645","2.6575965519035796","3.8157194185508376"
"3000","2.2427871287990073","1.7839425498240573","2.7476949050494923","2.4482411640447177","1.9193414932553217","3.27752949502113","3.1575233677032304","2.0631694421215645","5.119816669454017","2.9373813521780407","2.5208739013046557","3.4249865840280505","3.394240366205871","2.6398953986757876","4.4247612626735435","3.318117271067328","2.6604488818568","3.8245318004851394"
"3200","2.177655420418884","1.786398843309674","2.603912493744387","2.416339493942781","1.9999355784779902","2.9685459254798836","3.076569418107286","2.062738631730415","4.998439187684077","2.937909624078683","2.503368845420698","3.459132280714348","3.3952443517766455","2.640891786766592","4.400576668204673","3.32892147649524","2.663037897430559","3.831873834968374"
"3400","2.106566557353934","1.8024600219119185","2.556830692435807","2.406582435744994","1.9974355450717498","2.967482039100987","3.0660226808766993","2.018492183493441","4.775259470792678","2.9244025303160726","2.438124664191494","3.470303574685886","3.370366670255092","2.6414260157925185","4.369831545491456","3.3026746459638816","2.6653394318022015","3.8379207711921737"
"3600","1.8822318836428718","1.2551984225074926","2.5122975276246002","2.3969917509161913","1.992504668905328","2.956663104256428","3.0542414320392735","2.0188715660433303","4.827562089956867","2.9948590866167226","2.423950603937702","3.9237706193142627","3.3716896940334706","2.6414144792020435","4.333257392997322","3.3110019161953232","2.6673498545079255","3.8428709616910086"
"3800","1.8400882707478021","1.2834018407323933","2.492836036795631","2.8921803834362074","2.0877408148653127","4.944878704474538","3.03996668344179","2.0215938767456225","4.86160131246116","2.9640281804387945","2.3871488727348074","3.962118068589848","3.3710577375379396","2.640735495375301","4.291251713421775","3.319483701861743","2.669057189914689","3.846675280524024"
"4000","1.8197097610564623","1.282843887068577","2.5001489843568345","2.9203253969465974","1.9798975263757779","5.096970251026842","2.502653356827321","2.0254669396539793","3.3185309705599138","2.97530119578753","2.3871750956648405","3.976513985456253","2.9945951954100662","2.3756896644479304","3.775659904697224","3.3278683014452524","2.6705075691240987","3.849473797021118"
"4200","1.7878066236179986","1.3188353291747021","2.4784817231072678","2.9210922718709345","1.9699520836396487","5.245036567999129","3.094446292923597","2.0288070066345343","4.465518144970517","2.9830649307387844","2.3855056020711585","3.983295873685697","2.9495258825932984","2.1729578972267136","3.787784890227763","3.33588435384279","2.6717353573918325","3.85118970509806"
"4400","1.7578692197385863","1.3236474199148591","2.423614726208939","2.8902116825462194","1.957518607139078","5.159519179326263","2.3948588055800726","1.9139466534705898","3.194491050705321","3.0663155621055673","2.378929676796299","4.38461519298713","2.9552335474849096","2.173337013410092","3.794816062293143","3.2597503273028083","2.6727773079310126","3.8518215506702562"
"4600","1.7083681459626763","1.3121046727549057","2.3181525666140663","2.6869440386528787","1.9427789768908132","4.130425277482729","2.5884128025950637","2.0289014258922338","3.2642513192746616","3.0804481536039012","2.3630970718723026","4.544362222718415","2.9602799622653135","2.47366492073429","3.796159861512247","3.337571528191499","2.673703058493305","3.851319246926452"
"4800","1.635563765857026","1.3029319903294083","2.0490561463890544","2.728937273787804","1.910836195739571","4.6982436717153995","2.464638622204062","2.0245554143116093","3.014910025574807","3.1563759351240686","2.367129449230298","4.854592922291501","2.962441370600779","2.474974101953787","3.792072872789936","3.4382315524599028","2.6745607608681072","4.340157646522797"
"5000","1.5621029871631067","1.3220297994636339","1.973147786752929","2.5411100880178976","1.8610302754617667","3.856565243423589","2.3999721720251617","1.8836842779401721","2.9934488761556475","3.170253753095781","2.3553054470929435","4.97459230598744","2.9029873740638727","2.1737811316816353","3.783349010078233","3.4512981273609142","2.6753853536493297","4.392443102446393"
"5200","1.4526579626366174","1.3185681187692915","1.91562527000861","2.4245141830930286","1.7746534641810552","3.3806801666158495","2.398848597460327","1.882683871158149","2.965969745901413","3.0896901940654145","2.343459468321732","4.633561563250405","3.0376492520446883","2.173560426495242","3.7710996585380814","3.3908420730696855","2.676203051390524","4.441077102523848"
"5400","1.4473215951733789","1.318191438649031","1.8668373831129519","2.2143577181643193","1.2991721538803658","2.9369142021299814","2.4344875886778277","2.061781699864558","2.933814936902185","3.233753825997519","2.33176294910753","5.423223121374084","3.5425318921218834","2.9363806370392105","4.718448051898527","3.4022332318887707","2.6770517354000063","4.484774858537811"
"5600","1.4284593883519208","1.3154647524155587","1.8109521441605403","2.136292588683591","1.3383832610409259","2.548870094799497","2.3482831321336386","1.9453988578535988","2.8740095465992592","3.2053784717551297","2.313502204093204","5.429816686742053","3.133754172819404","2.8078293810307517","3.740469101168922","3.412174352662684","2.677919163670441","4.522349232211358"
"5800","1.4484035964946027","1.3246705031219554","1.651809917226031","2.0624382793407703","1.4930214707406786","2.405561609494451","2.330100788999969","1.9320780276980156","2.8500662399275054","3.1653313763508195","2.3140447450199417","5.255368142834951","3.4723724471821398","2.945952452187451","4.517256234654601","3.420530381034479","2.6788202700302675","4.553034532283878"
"6000","1.3407613721219613","1.3161079249413015","1.3829784818598747","1.831973089718525","1.227899089872581","2.4001340045104076","2.700240747677643","1.9178262805075126","4.245954022353022","3.1021125054600254","2.228453393313348","5.044543048644345","3.448109846613355","2.950604777648839","4.413462318031531","3.42724777506763","2.679729040934894","4.576526395865098"
"6200","1.371985980007302","1.308223469183543","1.5145824930814784","1.8354799475341004","1.2495383121838761","2.3827746390177262","2.71362184229031","1.9494017246357889","4.334167921515448","3.028314842718848","2.2217109596094984","4.839628220134191","3.289854056196617","2.4566284409107393","4.309933841470993","3.4324369905499466","2.6806798037604382","4.593261755964125"
"6400","1.3778163220778257","1.319044686224593","1.505795786864279","1.7988169650369954","1.2710318587046665","2.3744556307130518","2.7348785023079927","1.9232591669040242","4.340066362275043","2.9662526235289866","2.214629675862363","4.646149820954372","3.2652101095343227","2.446136777196018","4.2076029318638675","3.436243811042587","2.6816325062075426","4.603976942962719"
"6600","1.3756044236647629","1.3291674186950284","1.499128068749581","1.722116193008753","1.2935413019731012","2.3683652358496454","2.7458226561710637","1.997110739012036","4.318925290566671","2.4899682311873996","2.2073360356729586","2.8992810255364","3.2484715221150906","2.473377331690129","4.1072593699539865","3.438879854942485","2.682587107423728","4.609651400589815"
"6800","1.427311005591336","1.3254933503497799","1.6192497180986578","1.733654703236533","1.3098613890592397","2.4088370860739334","2.86268702145765","2.021213922206848","4.89177169189562","2.46558787465098","2.1999825759153833","2.893072196876312","3.226083134938709","2.4698378686810347","4.009603961362481","3.440494299019283","2.6835169084916135","4.611106685343676"
"7000","1.4316865090945163","1.3285972209202757","1.6284429963759375","1.8960937655683694","1.318494147827876","2.36842134918542","2.845728020219454","1.994689059014802","4.9167533596993085","2.476996741290968","2.1927002464892356","2.8854696328957115","3.0384843017509864","2.465949473069526","3.629191924867853","3.44125821525638","2.684443641432325","4.609031953929966"
"7200","1.441217817503077","1.3071388409828808","1.6829846491921128","1.7297687287748178","1.261026276412387","2.360769448170114","2.7327816231917863","1.918783122194257","4.779577394245365","2.4946631262496775","2.1855537203302013","2.876039979527124","3.0277140300733745","2.4481251619664124","3.6166310529880668","3.441265932584946","2.685323355140615","4.603944262569926"
"7400","1.4363538531687456","1.3048695052512644","1.6820165116703194","1.7616381228126223","1.3083421730810596","2.205599188004876","2.5945783109590415","1.8552653343211163","4.184170552514444","2.6447350390967204","2.1787188961345887","3.196364079320222","3.0208305537933287","2.4550930761906122","3.6051124501295577","3.440589364501817","2.686138499896339","4.596127699932435"
"7600","1.4313943374223015","1.3242866180499306","1.677616933391624","1.7716768183953882","1.2880239736188477","2.4302497541426398","2.4502555259646437","1.783690819077692","3.6648483157416027","2.5625302112136543","2.172617452788689","2.9039680286314367","3.0859725223015895","2.4622266314871686","3.8643986413594176","3.4392582125163407","2.686889284371338","4.585687838972146"
"7800","1.4387244530034713","1.3300469257492578","1.665282448848494","1.7177750860781154","1.2968518981717874","2.2730172835346236","2.3577962531300383","1.683749409635746","3.462506538851577","2.5558373220180455","2.1677953703115445","2.8908655323704533","3.0837515749620255","2.469362335062023","3.874704136972172","3.4373202853912472","2.6875128705516005","4.572904017522764"
"8000","1.4841842607737683","1.3451333481190297","1.6542268586242679","1.5778655257731475","1.2947460849366035","2.1547712731474253","2.2037661919093523","1.3209396835815554","3.0628044018380893","2.520070527546874","2.1004822882883714","2.8764680618426652","3.0810589638155035","2.4762801444345333","3.8855106207862686","3.4181797160068514","2.6880108419694038","4.557846200022263"
"8200","1.4293805515032387","1.319442294163305","1.645618394109374","1.5665339793873243","1.3083967318016259","2.071012176277017","2.0644923030686515","1.593508725935547","2.4902607173911244","2.505709738426826","2.0916136658446343","2.8468017895600575","3.077901278161351","2.482455196124649","3.8971552541637298","3.4167189733725083","2.688347595823039","4.540672472102755"
"8400","1.4837686673960673","1.3340337285343853","1.637263823814338","1.4378664641031091","1.2967408510947809","1.7977167162787877","1.799027902261661","1.293438245966848","2.4025546917331484","2.517881061779412","2.0815658570353444","2.8920607837368806","3.0227397859702925","2.4865029656191924","3.9099632761351635","3.407167751436836","2.6512002571591786","4.521484269474737"
"8600","1.4261999956953484","1.3080234707072924","1.627069787346708","1.4305403553374259","1.2841433897506356","1.7966382956562317","1.6428770734266156","1.2247382998094987","2.4405307378170127","2.551031245899705","2.0703793370003636","2.950318684290079","3.0175906230964875","2.486332675299784","3.9241181117733706","3.4052622931123224","2.655025889078927","4.500509809660306"
"8800","1.4281431288476365","1.3256381823909995","1.6165284246375946","1.646236455381524","1.2832990933789903","2.3001194445677493","1.6221654676530597","1.254414467702258","2.353291893135453","2.5425646200790695","2.0587279772070417","2.9339597522924974","3.005981278854018","2.482529841117823","3.9399656678273947","3.40279437622468","2.6587161705803464","4.4778695610100865"
"9000","1.480041060497205","1.3287543433992959","1.804083656819298","1.4742536368083214","1.2856788904958456","1.7972393878160262","1.5948681260633157","1.2809593448467076","2.2886908251520786","2.5481151828821997","1.9056082621693524","3.2985927342582597","3.002727015165854","2.4771964089503857","3.9577204106501034","2.9439758037278234","2.1746448020769176","3.6732534873182106"
"9200","1.4213183364090638","1.3179940499899054","1.6031339911966325","1.625168982571914","1.3193023397629566","2.296422046350827","1.557741835152403","1.3194278943109006","2.158001063535973","2.569222861919191","2.00091561951514","3.3469960528193483","3.000010174952144","2.4713385248119932","3.9773781543073072","2.9453972980125824","2.1737988574093143","3.67116302159922"
"9400","1.420843610616624","1.3280520584062003","1.5718254496895385","1.5650855988258991","1.3290393966787237","2.3779363678160417","1.4797278744400004","1.3144207637192822","2.0480334522064227","2.570679105947966","1.9984936351905243","3.395121582845515","2.9978085514119055","2.465346108651066","3.9985593915133197","2.9465526263877186","2.1729564734230964","3.668503263889439"
"9600","1.422416176525474","1.328226250639514","1.5245396313385","1.8819941839192285","1.3395318422361164","2.402374441309678","1.4610712862133028","1.3149584785640291","1.9968870908868843","2.5832420965897347","1.994721313507824","3.5855722526505267","2.995881366489356","2.4593762638747045","4.020011909463747","2.94745198099684","2.17212787379062","3.665327119406387"
"9800","1.4285014076353262","1.3135599927571446","1.5789884838019286","1.7117772797633688","1.3313141256981154","2.418616278362095","1.4345321464147769","1.290226862033309","1.871928516777807","2.608655099723365","1.9891051594496685","3.793120142263476","3.053414379854563","2.4679491997395546","4.03806927357927","2.9480855700924127","2.1713094530124137","3.661551124116219"
"10000","1.4099001410978504","1.322733552514606","1.524523217046227","1.7092649499690709","1.315866871566398","2.428679738134886","1.450796942379957","1.3101570397475275","1.9076021250681505","2.596677606598477","2.00779204321843","3.801203938480477","3.0331601114483435","2.4716561323352706","4.049070185328386","2.940821458112436","2.132275786727298","3.6572673341817565"
