"Step","model.ln_type: mlp-pre - grads/weight_norm","model.ln_type: mlp-pre - grads/weight_norm__MIN","model.ln_type: mlp-pre - grads/weight_norm__MAX","model.ln_type: pre - grads/weight_norm","model.ln_type: pre - grads/weight_norm__MIN","model.ln_type: pre - grads/weight_norm__MAX","model.ln_type: attn-pre - grads/weight_norm","model.ln_type: attn-pre - grads/weight_norm__MIN","model.ln_type: attn-pre - grads/weight_norm__MAX","model.ln_type: off - grads/weight_norm","model.ln_type: off - grads/weight_norm__MIN","model.ln_type: off - grads/weight_norm__MAX"
"18","35.444834628281775","35.33008066236723","35.50819495806127","35.34892459720017","35.28681484290998","35.38113490309843","35.582968695370155","35.51388750974311","35.623158189779616","32.181810600778775","32.02095108821332","32.27370510207381"
"19","35.46998907642441","35.352112392132064","35.53882120301685","35.37570658581157","35.315476229666295","35.40895979259699","35.623510269206875","35.55421284153609","35.66485914362168","32.260796930468736","32.094531620837486","32.35826780155556"
"20","35.499166652618634","35.3783142909652","35.57366607159624","35.40697899254468","35.348679958446645","35.441319927496","35.66783945175548","35.59846702446873","35.710229052533045","32.347059784691616","32.17522710499201","32.4502454939433"
"21","35.532080393750675","35.40847025253986","35.61230413852335","35.44268341132867","35.386339075468975","35.47815300745393","35.71596022882977","35.646608030253034","35.75930515646854","32.440680769104546","32.26317144121626","32.54967095227788"
"22","35.568362544406334","35.44222059883611","35.65424375381211","35.482761742824664","35.42840491752345","35.51936779112559","35.76788865562007","35.69860474667568","35.81214039141004","32.54174537578759","32.35850169330987","32.656586421712085"
"23","35.60756084146153","35.479100912544276","35.69888514212489","35.52714697583578","35.47484288251412","35.56485637239468","35.82364257846906","35.754488149763276","35.868781105688726","32.65030793104141","32.4613144908915","32.77103406711672"
"24","35.64918317071335","35.518637479476006","35.745552266483976","35.57576776172","35.5256169264914","35.614532110655865","35.88324703545747","35.814332073011464","35.92930273358885","32.76637523104079","32.57167764439395","32.89302062237615"
"25","35.69273565658898","35.56031854304475","35.79357729790709","35.628547830525065","35.580658739927614","35.668324464672956","35.94673553707965","35.87825279242985","35.99375352708786","32.88984364757577","32.689664050616784","33.02246438860787"
"26","35.737763886191445","35.60357942909761","35.84234685570966","35.68540373095091","35.63987490990604","35.72614308604677","36.014146885490035","35.946360999976406","36.06217504186346","33.02041311003255","32.815327259148276","33.15914182429089"
"27","35.78391195548553","35.64794354386028","35.89141916568029","35.746256934559185","35.70316944745592","35.78790535812169","36.08550850531707","36.01873969720484","36.13458019324685","33.15750278970224","32.94862944975386","33.30257349465935"
"28","35.830910331534746","35.6929861150969","35.94059599435835","35.81102265051312","35.77046268888009","35.853504080951595","36.16082233554377","36.09540884986708","36.21093834277237","33.300226984734046","33.089397140549416","33.45185877449488"
"29","35.87856987105654","35.73828786786746","35.98990235175781","35.87961200499984","35.84167421245222","35.92281969179723","36.2400687907051","36.17635298955659","36.2912043568669","33.447448796032866","33.23728940853274","33.605541171969506"
"30","35.926756762177504","35.783571499471826","36.039444401022266","35.95194338317944","35.916738228309896","35.99572050301605","36.32321441240969","36.26154853758661","36.37530706217045","33.59786287197428","33.39170345123171","33.761722139664876"
"31","35.975389582088994","35.82871783199023","36.08932941002956","36.027923454310766","35.99556450540122","36.072083256026225","36.41022176609948","36.35096728101778","36.46317973740771","33.74998583702868","33.551597827776774","33.91824204693822"
"32","36.02443894104251","35.87372908517544","36.13966742408454","36.10746226126039","36.07761070443309","36.151811727919494","36.501029452576255","36.44453459110844","36.55473341656659","33.90218533339097","33.715421015579984","34.072946720854475"
"33","36.073937230465226","35.91867883508262","36.190579667098795","36.190473948075706","36.156783433835066","36.23482306212837","36.59555444861046","36.54211838434692","36.64988222610681","34.05279756294204","33.88113088834901","34.223998955297255"
"34","36.12402335995502","35.96372344873199","36.24237022345617","36.27688386651231","36.23946843243738","36.32105441944968","36.69370312765132","36.64357997146294","36.748533466167906","34.20027696827436","34.04626369058817","34.370123943941124"
"35","36.174897525774476","36.00917275446546","36.29543219797086","36.36660266852054","36.32557954791895","36.41044771937033","36.79539636561779","36.74879256360422","36.8506291950397","34.34331711484289","34.20812834578757","34.510583111267294"
"36","36.2268319740562","36.05559908788006","36.350273826019006","36.45953727678802","36.41502040281593","36.50295297879166","36.90057272553089","36.85763461607632","36.95615572931068","34.48090909418015","34.36413180465207","34.644911566649114"
"37","36.280126737969425","36.103674907090486","36.40732797492062","36.555583670205124","36.5076795886196","36.598513246783675","37.00916519987587","36.96997171480863","37.06508705926559","34.61237401713252","34.51211467833161","34.772829309722916"
"38","36.33499750271524","36.15371608180046","36.46673656877679","36.65464211898385","36.603454293426154","36.697026486211215","37.121083616477776","37.08568158090549","37.17734072100824","34.73744669865146","34.64955342763273","34.894310639974854"
"39","36.391589244695446","36.20555262685028","36.528513183410915","36.75661122242599","36.7022369784016","36.7983561936493","37.23623502895462","37.20464251682426","37.292847433878826","34.85631940355442","34.76484198556424","35.00966314707805"
"40","36.450073231172226","36.25908594375433","36.59285265231962","36.86139760436849","36.80391884545466","36.90239316214804","37.3545401827033","37.326743316308246","37.41154770077265","34.969595283136556","34.87711932124609","35.11953812349776"
"41","36.5106945298269","36.31477577313572","36.66007945683219","36.96890861121404","36.90838828744168","37.00906013703351","37.47591903647584","37.44734584636807","37.53338032567644","35.07819500225274","34.98707908821484","35.224867065265485"
"42","36.57372437714212","36.3733841055388","36.73046688058328","37.07905864460007","37.015563990557574","37.11829169190037","37.60030480048172","37.56912574154973","37.658314907077624","35.18321411775564","35.09551350756069","35.32670137556187"
"43","36.639490093483495","36.43552839595149","36.80425052144538","37.191757945813286","37.12535182388007","37.23157183636289","37.727626644358","37.69379773510906","37.78630129332173","35.285832149270576","35.20330531467358","35.426149733790396"
"44","36.70829130038512","36.50144307667421","36.88165823098505","37.30690846093391","37.2376205047983","37.34719682053209","37.85779143732928","37.82130095150169","37.91722970621338","35.387194834767435","35.31130217824652","35.52424588782199"
"45","36.78026619366997","36.5710610303121","36.9627382448147","37.42441251947282","37.35224635302658","37.4650748823154","37.99071404687116","37.95150231967521","38.05101042720482","35.488319336322974","35.41437186192916","35.62187314950868"
"46","36.855387463246565","36.64427120717081","37.047206148351286","37.54418201072618","37.46916049608331","37.585114994378095","38.1262977500297","38.08429563768706","38.187570325221664","35.59002262800957","35.50577465961963","35.7197017726431"
"47","36.9336102880446","36.72107539179221","37.134667367674275","37.666108778521114","37.588249026042035","37.70722690595929","38.26443293494914","38.219644306789405","38.32678414389211","35.692887093969","35.598545893428884","35.81817315721605"
"48","37.0149998451389","36.80157546941775","37.22506145321069","37.79009991586042","37.70944764122447","37.831316341012375","38.40499991229958","38.35750536431478","38.46854373929269","35.79726442906496","35.69350253263015","35.91753861386001"
"49","37.099630616144324","36.88582997744527","37.31852410279562","37.91605142669756","37.83259247938129","37.95729636916004","38.547910320592294","38.497766207011125","38.612770490109554","35.9033372777547","35.79122234123455","36.017912752719305"
"50","37.187486836838346","36.969616761288755","37.41503884584296","38.043875530787375","37.95765334245026","38.08799113053057","38.6930163820564","38.640242744773225","38.75934867067557","36.011179526619934","35.892107881860674","36.12054605977393"
"51","37.27856870271614","37.04452063111443","37.514575617872346","38.17346835862914","38.08452000567291","38.22265605039601","38.84023791359138","38.78497980150467","38.90812620978104","36.12076454159022","35.99635635586521","36.23889074114214"
"52","37.37292780155389","37.12258810820661","37.61714612536665","38.30470808062485","38.213062677305615","38.3589549366002","38.98953689950261","38.93193492032762","39.05899359262538","36.23197699683965","36.103913274199755","36.358951974333294"
"53","37.47053835119304","37.20361717440087","37.722746655491235","38.4374784864488","38.3432167470051","38.496732498823036","39.140710207542256","39.08082226547073","39.21175236376844","36.34462133108551","36.214440735339785","36.48033636640773"
"54","37.571385400809255","37.28754268980124","37.8314583155507","38.57164484599982","38.474900820717686","38.63574701316936","39.29369628395399","39.23174741051962","39.36611847997828","36.45844753333746","36.32738070474098","36.60253717352204"
"55","37.67558350601368","37.374488852587504","37.943381442782616","38.70714182436619","38.607966447900196","38.77592378815752","39.448342271024856","39.384538155259925","39.52182446920941","36.57320091360609","36.44212623397714","36.72500943988136"
"56","37.78323984965877","37.46457473869899","38.05859836068175","38.84387343037707","38.74228438811237","38.9172800629746","39.604498541839575","39.53889346807378","39.678897628237955","36.68868252709643","36.55816280364927","36.84725353094091"
"57","37.89430482559423","37.557683499435235","38.177178369310994","38.98176879656384","38.87784794130039","39.059682710904895","39.762083310616774","39.69489042901964","39.83704447250935","36.80476994202779","36.67512701281687","36.96885071045031"
"58","38.008524908654856","37.65356739666658","38.29885915147718","39.120716704974186","39.014512711918336","39.20299733438758","39.920921542541514","39.85235967027627","39.99616986057071","36.92138399800139","36.79279933638935","37.08946505368809"
"59","38.12587499389868","37.75221821918217","38.42356518242581","39.26060894012197","39.15210971726172","39.34718294445058","40.08080523083554","40.01104126177626","40.15614056405322","37.03848567230786","36.91104071626554","37.20891255906473"
"60","38.246371120336484","37.85387876684914","38.55133518227271","39.40133634417987","39.29059654118909","39.49206617810247","40.24160909890905","40.17077801399918","40.316742145982296","37.15607998980821","37.029776473847704","37.32715700921549"
"61","38.36994617694121","37.95859560717111","38.68213247801722","39.5427973372959","39.42984461653856","39.63765632360376","40.403039066439895","40.33134400897536","40.47778615333353","37.274227782173796","37.14899858277643","37.44430108299192"
"62","38.49674330022286","38.06626014113827","38.81603653624121","39.68488622687422","39.569660810280205","39.78382595499316","40.56488751503813","40.49239777222078","40.6390630707159","37.393031139807746","37.26877607222801","37.56054357425821"
"63","38.626223087171944","38.17695774337005","38.952849226861765","39.827470753974566","39.71003297341869","39.93032872822048","40.72694861011816","40.65378787702322","40.800408574470794","37.51262167807486","37.389243993510355","37.676168227989294"
"64","38.75903600421692","38.29070355211073","39.092591534594185","39.97039106301919","39.85078828766675","40.07710311806403","40.88889600805951","40.815393692878764","40.961440399592576","37.633185000394846","37.51062349521799","37.791599014260925"
"65","38.89320494140075","38.40718125905135","39.234740577249426","40.11353677996112","39.99180824322026","40.223965583052134","41.050492250340945","40.97691476850487","41.12187131905903","37.754962127457325","37.63327553820389","37.90738514633807"
"66","39.02984472782036","38.52630588464442","39.378654964293474","40.256736035522145","40.13298815539718","40.370729202817074","41.211431857639504","41.137975251736684","41.281499869134024","37.878218224301904","37.757553052336426","38.02412692640851"
"67","39.1695683716073","38.64823772563084","39.52478949184929","40.39981817429975","40.27417176222017","40.51724290541312","41.371395963476694","41.298293817851906","41.43988315639446","38.00321705142491","37.88370587598892","38.14244285917756"
"68","39.30856129712911","38.77304159958066","39.672416548095796","40.542618271178505","40.415183841731285","40.66329625238681","41.530020191326265","41.45757432303535","41.59664216794954","38.13022221381852","38.01192407745644","38.26294524099818"
"69","39.451226895971025","38.900649069737575","39.82309820180526","40.68494907330403","40.55587869686712","40.808747614156665","41.686913959889516","41.61534909469627","41.75139026268691","38.25946329402465","38.14235004804371","38.38614455438316"
"70","39.59607220514994","39.031032638005655","39.97401805098688","40.826636783420845","40.69613063705351","40.95334706397253","41.8416165329346","41.77115885289828","41.90361225152985","38.39113978267839","38.275109520275215","38.51245549839201"
"71","39.74134449541655","39.164189513308905","40.12718275556406","40.967462525200915","40.83573646999494","41.09691498030524","41.99365559299561","41.924501408596086","42.052859512333555","38.525445893425214","38.41035785852968","38.642218742405795"
"72","39.88942355029974","39.299928435049345","40.28232124981674","41.107229955799625","40.97448829950473","41.23924605323263","42.14253797564401","42.07480027711807","42.198648700502694","38.66253890079486","38.54829053440632","38.775700272730404"
"73","40.03996646779944","39.43820417111037","40.43869087552863","41.24572174815894","41.112218105315876","41.38006247352099","42.28776270249295","42.22159791005221","42.340457667209385","38.80256128889961","38.689074458067296","38.913153566728724"
"74","40.19104185225124","39.57849202849952","40.59655554681487","41.382690533962524","41.24868901799335","41.519173846248435","42.428808566770215","42.36434433457501","42.477806130635734","38.94527159300499","38.83278706920867","39.05473360294338"
"75","40.34436596413849","39.72105342209516","40.756116536739","41.51792262162871","41.38367161535075","41.65635402978383","42.56520889060289","42.502504521792595","42.61030034290418","39.090274338073115","38.979450778683535","39.20050777184286"
"76","40.499895425954335","39.86521480642617","40.916594733791996","41.65116273472014","41.51696724636733","41.791310961430725","42.696521845200905","42.63564492034145","42.73754272994354","39.23716409643062","39.12912599300632","39.3503394998061"
"77","40.65561964891803","40.01123651990229","41.07852914407507","41.78214944504308","41.648304873405415","41.92380842541175","42.82231929189662","42.76337852612618","42.8591329058055","39.386184033722685","39.28191346645346","39.50371756141281"
"78","40.81352871531813","40.15971379759432","41.241756100935646","41.91063386322884","41.77743268603203","42.05360261813561","42.942291487911504","42.88532811099269","42.976168393711966","39.53699676600411","39.43795036143407","39.65842469657692"
"79","40.9725594256374","40.309571720196","41.40562499528295","42.03637240704512","41.90415117553615","42.18041462491434","43.05619480359712","43.001237718378526","43.088174947571176","39.689299388660686","39.59370992006653","39.810157407532316"
"80","41.132567476250884","40.46127917286708","41.57078013150809","42.15912095548887","42.028217827431135","42.304000023269076","43.16383630922053","43.11090972259081","43.193791374238614","39.84345384193526","39.74102873900442","39.959392534894874"
"81","41.29337962420384","40.614794391175984","41.73595297232127","42.27863470392689","42.14937947858411","42.424120854455396","43.26512391556603","43.21422071575875","43.298016833554286","39.99952084380728","39.89210148315312","40.110895167433156"
"82","41.455566864704785","40.76899959681376","41.90232463205726","42.394706623101435","42.26742284762211","42.540563994391725","43.36004949677759","43.311110525151335","43.39579973419447","40.157352027750775","40.045757824350915","40.26405761889256"
"83","41.61733727814639","40.925560341402935","42.06507555032663","42.50713833315251","42.3821579730566","42.65311200683002","43.44865868428601","43.40161371702886","43.48712037686417","40.31656558243748","40.203682164328086","40.4183959171517"
"84","41.779584153637344","41.08064192080012","42.23093828507129","42.61573830713951","42.49336460150278","42.76161152157242","43.53102792255229","43.48581648482138","43.572002583995236","40.4778802048556","40.36530577310483","40.576584732030184"
"85","41.94218945440672","41.238881965230185","42.39078770011165","42.720352564942765","42.60084829426082","42.865919569593686","43.607286357956156","43.56383662314563","43.65057060856278","40.64136109389442","40.529813366019525","40.73638726090364"
"86","42.10470601044995","41.39659085450153","42.55398685052906","42.82086975703804","42.70448423330754","42.965923202470876","43.677600998504715","43.63581919474957","43.72299948075097","40.807812411230266","40.698219774007775","40.89932320554797"
"87","42.267411598435466","41.556189311788295","42.7139562164881","42.917185788230846","42.80413496061522","43.061536182973086","43.74217074965809","43.701935092846576","43.7894855298478","40.97692638026058","40.86998398360724","41.06536567245566"
"88","42.43019881427095","41.71597017892248","42.87434658075342","43.00923602379224","42.89969308738919","43.15271273293184","43.80121583574268","43.76239640224456","43.85023951883701","41.14853728696251","41.04438872371137","41.23326779491137"
"89","42.59334117943275","41.87714255246381","43.035755993653844","43.0969857271057","42.991092202793155","43.2394385700319","43.854972915963856","43.8174480087556","43.905509057360184","41.32319364198456","41.221883173185454","41.40461229072569"
"90","42.75522961838384","42.03864363408684","43.19401463618107","43.18042687272778","43.07829360458481","43.321723517372035","43.90368885801499","43.86731898355184","43.95555505635778","41.50018945244421","41.402224155702825","41.57818078256311"
"91","42.91754562549818","42.20078494530641","43.35367220380169","43.25957447814957","43.16127606956408","43.39959705359097","43.947605707920744","43.912260487177726","44.00062421876109","41.67973121893617","41.58465398756643","41.756041677840614"
"92","43.07824548258492","42.3643356902544","43.51164002175524","43.33446894614034","43.240056829847454","43.473116580645275","43.98698011866803","43.952522325231804","44.040978509632794","41.86163053075742","41.769383482215474","41.93660492943858"
"93","43.238246100537346","42.52653698170414","43.668140493277534","43.405173598426515","43.31466444808271","43.54237143692983","44.022059430982","43.988365715941015","44.07688013351997","42.04533927071871","41.95578873061276","42.11902718691251"
"94","43.39790420459866","42.69048820525627","43.824654497176304","43.4717675510559","43.38515421714336","43.60744912444002","44.05308501194723","44.02003716348954","44.10857796835696","42.23087523203135","42.14325081038704","42.304323203648465"
"95","43.55570122594181","42.85387200362559","43.97864360971129","43.53434254810166","43.45158972251835","43.66846196412807","44.08029888254663","44.04779924314111","44.13631201274001","42.41712681529179","42.3299389376922","42.49169122595837"
"96","43.71292483777919","43.01807821963851","44.13198753986444","43.593012223337894","43.514082109092854","43.72552468283328","44.10393090785316","44.071889236773565","44.16033160762397","42.60430079450358","42.51353185310531","42.68137424019112"
"97","43.86814470818672","43.17873407328977","44.283808147702246","43.64789270606293","43.57271978175895","43.77877959661222","44.1242092747775","44.09253741245507","44.18087351966841","42.79225866086365","42.69004213239459","42.87313082432501"
"98","44.02202833038403","43.342398140417885","44.43297681577206","43.699110288199996","43.62761061762522","43.8283561714046","44.14135514363033","44.10996861316824","44.19816354932422","42.981559839152816","42.86838847529436","43.066825571938196"
"99","44.17299590683225","43.49748415632435","44.580423781860944","43.746795025385765","43.678880531581704","43.87439625207821","44.15558393354921","44.124403822548274","44.21241258694002","43.1724046944811","43.04788026276309","43.26271179023932"
"100","44.322761169777316","43.655942420176316","44.72649358619145","43.79108835241434","43.72665671889974","43.91705549865422","44.167099116547156","44.136047882159204","44.223837494437035","43.364147272389104","43.22753322717189","43.459928449772846"
"101","44.469245809044864","43.808927948179125","44.86893075687925","43.832129222052565","43.77107751201128","43.95647149986848","44.17609099172358","44.14509794814779","44.232641921188986","43.556967964090525","43.40803997614166","43.659898849838456"
"102","44.61385139904099","43.96220578075417","45.00875294647559","43.8700650576216","43.812277103569954","43.99279726202347","44.1827321215243","44.1517450041792","44.23901092803302","43.75110039452603","43.58981977131028","43.866588514387864"
"103","44.75572183120237","44.11465358736043","45.14653874814214","43.90503124528999","43.85038566811229","44.02617906836085","44.187198437679946","44.15617535821717","44.243123527754996","43.94611617248269","43.77297387872453","44.074206113454274"
"104","44.89433452911558","44.262616271733755","45.28057064707776","43.937174072735004","43.88537092528671","44.05676630469561","44.18965468542917","44.15854448214128","44.24515278447883","44.14176278971168","43.9568214096231","44.28224929403499"
"105","45.030507722181554","44.41121706474475","45.41107542752511","43.96663411515864","43.91483873958138","44.08470462235882","44.19025396355784","44.159014421604795","44.24525210668796","44.33757152903313","44.14089878233677","44.49101389474972"
"106","45.1630262228393","44.55704159899631","45.53821744476693","43.993547738203766","43.94174916108754","44.11012912258292","44.18914689922967","44.15772898708532","44.243584291697736","44.534173127707476","44.32550331514155","44.70042699827514"
"107","45.291918491828326","44.69914894061883","45.66206221559918","44.01805383822652","43.96624015580022","44.133183830753275","44.1864748102775","44.154831784549636","44.240282963818736","44.73144058915039","44.51090955412996","44.90960566141794"
"108","45.41783327166503","44.84091073328713","45.78204190867992","44.04028228434324","43.9884475801069","44.15399410373313","44.18237389505754","44.15045521070536","44.23547745667851","44.92945458274228","44.697399744787305","45.11900361604506"
"109","45.53968655496537","44.97944951759914","45.8973969296939","44.060365351217854","44.00849555101904","44.17270266955388","44.176967819320424","44.144728791534384","44.2293052772989","45.12790745794777","44.88449259801485","45.327551379514205"
"110","45.65732364899124","45.11408336182976","46.00885985923662","44.07842174186814","44.02650901552098","44.189421313869765","44.17037300074141","44.13776401126435","44.22191077484243","45.326194108631924","45.07121914173029","45.535153401657716"
"111","45.771464814158165","45.24721859977279","46.11670244218059","44.09457409691517","44.042608264877295","44.20427656241249","44.16269228695226","44.129670930625714","44.21338582746321","45.524424253405435","45.25705659756277","45.74173315850363"
"112","45.88149667304542","45.37684547727783","46.22007055246671","44.10893687426293","44.056915924974966","44.21738348153501","44.154027124470865","44.12055268177533","44.203837481002424","45.72259585684924","45.440132746972694","45.948476048416175"
"113","45.986999171293334","45.502017469009","46.318785947395305","44.12162193779706","44.06953899892901","44.228854024497544","44.14446763596784","44.110506870883384","44.1933548432871","45.92029308308933","45.620563782616166","46.15554914413732"
"114","46.0884867792669","45.62479933603133","46.41327282719082","44.13273639889223","44.08058416571433","44.2387970789463","44.134098151973646","44.0996186739466","44.18203671362449","46.11773980941108","45.79824503239043","46.36308493328771"
"115","46.185852257717364","45.74411089572761","46.50361734081823","44.1423812799914","44.09015366712419","44.24731023339865","44.12300525210439","44.08797745258196","44.169965359322504","46.31497353976062","45.9742545353171","46.571087714777505"
"116","46.278737486347005","45.85834751830222","46.58969686009585","44.15064933931193","44.09833704436172","44.25448809778365","44.11126394059698","44.07566292751591","44.157210656128264","46.51193836160147","46.15032544915041","46.77881798955591"
"117","46.367403878421406","45.96900492791311","46.671406823061915","44.15763534697478","44.10524024191315","44.260423714893136","44.098940131582964","44.0627437936518","44.143846674465856","46.70880256780196","46.32594851548509","46.987230230005046"
"118","46.45195502729582","46.07640033649276","46.74872314014978","44.16342946943514","44.11094826498221","44.265205831054544","44.086103670410324","44.04929988447603","44.12998765631909","46.90568465802106","46.50096605179294","47.19637230332168"
"119","46.53219459819381","46.179049780954514","46.821857897280466","44.16811094592765","44.115543205810695","44.26891478685975","44.07282029900814","44.035391705493545","44.1185785651507","47.102163639648566","46.67592884972269","47.40566032510648"
"120","46.608237820644376","46.2770033078661","46.891083178367985","44.17176165694336","44.11910288364681","44.271630813895655","44.05915166844909","44.021075663130524","44.10677629167371","47.29844802492757","46.851350805132874","47.61533335705133"
"121","46.68036050880844","46.37119098659883","46.95643447155299","44.17445591887285","44.12170363262634","44.27342853912914","44.04514759088536","44.00641654651768","44.09461374065431","47.49451974386221","47.027104779949774","47.825159169723364"
"122","46.748561317265924","46.43856724042797","47.017847446641206","44.17626603072479","44.12341616978662","44.27437700278091","44.030857371341845","43.991465347695566","44.08214045871497","47.690749730265566","47.202853462476185","48.03481810104"
"123","46.81279393802037","46.494205893214534","47.075441240298005","44.17725593280157","44.12430837807829","44.27454105184562","44.01632177578405","43.97627312149417","44.069403271289026","47.887410770894576","47.37944456806269","48.2442060559478"
"124","46.873213872090815","46.546132819695664","47.12946296423157","44.177490341371296","44.12444670332989","44.2739841096926","44.00159243955055","43.96089237713163","44.05644766722219","48.08387891225303","47.55687384595417","48.4522784914768"
"125","46.93002974994297","46.59454119884914","47.18007754123423","44.1770300614283","44.123887866650534","44.272762672420136","43.986713015756116","43.94536736107687","44.04331502774073","48.2801925930381","47.734717674711085","48.6587763273171"
"126","46.9833836268208","46.63990001530342","47.227378637488975","44.17593088703331","44.122687173805495","44.27094010403791","43.97171750205164","43.92974238058994","44.03003014633876","48.476541991280556","47.91337652880065","48.86358712256372"
"127","47.03337322936458","46.682424736691594","47.27148723976616","44.17424666189127","44.120897140166186","44.268560450233046","43.95664354531445","43.91406180506137","44.016641417533066","48.67291642238202","48.093074840939934","49.06776693464993"
"128","47.080101901215336","46.722000304995504","47.31254386143938","44.172028167783154","44.11857718171635","44.26568015351312","43.94152356389875","43.89835060166697","44.00319035841322","48.86889147143732","48.27365180908085","49.27167789092939"
"129","47.12367654796068","46.75857677424672","47.35066987382544","44.16932037455082","44.11576180293303","44.26233634756883","43.92638864046488","43.882644900205136","43.989699111606654","49.064023595845434","48.45513791771725","49.4755799138575"
"130","47.16424860112465","46.79241683689249","47.3859934268226","44.16616796667245","44.11250487035961","44.25857995252517","43.911263224977475","43.86697114260982","43.97618845883744","49.25873675580517","48.63752549954356","49.67922493985791"
"131","47.20201412846335","46.82388880155086","47.41927247800993","44.162611485312084","44.10884226343186","44.25444258463282","43.89617096668476","43.851344673652825","43.96267504230151","49.45372993160566","48.82085695907795","49.88182812752305"
"132","47.237129959300944","46.853127709597736","47.451591801046305","44.15869229581644","44.10481678095092","44.2499724134801","43.88113888736594","43.83580035288651","43.94918524602092","49.6487607890352","49.00517401334399","50.08349473940991"
"133","47.269678827605624","46.88008045384921","47.4814416871213","44.15444569155399","44.10046015562082","44.24519830718569","43.86619459652654","43.82035498192806","43.93574965396915","49.84361891985528","49.190371282936304","50.28418991949035"
"134","47.299731060486195","46.90475618041042","47.508937275987876","44.14990531117138","44.09581381376737","44.240156037812525","43.851354608598506","43.805029565500526","43.92238638087217","50.03867425874781","49.37644875247966","50.48443303153582"
