"Step","model.ln_type: mlp-pre - fourier/col_energy","model.ln_type: mlp-pre - fourier/col_energy__MIN","model.ln_type: mlp-pre - fourier/col_energy__MAX","model.ln_type: pre - fourier/col_energy","model.ln_type: pre - fourier/col_energy__MIN","model.ln_type: pre - fourier/col_energy__MAX","model.ln_type: attn-pre - fourier/col_energy","model.ln_type: attn-pre - fourier/col_energy__MIN","model.ln_type: attn-pre - fourier/col_energy__MAX","model.ln_type: off - fourier/col_energy","model.ln_type: off - fourier/col_energy__MIN","model.ln_type: off - fourier/col_energy__MAX"
"5200","2.0040162563323975","1.655327320098877","2.1905362606048584","2.401564931869507","1.5124633312225342","3.2491514682769775","0.884853407740593","0.23346678912639618","1.3083736896514893","0.6735199987888336","0.4533151090145111","0.9728078246116638"
"5400","1.9638862133026123","1.548811435699463","2.1818435192108154","2.362375283241272","1.6963847875595093","3.0714452266693115","1.0590782105922698","0.24041101336479187","1.7034943103790283","0.7317825794219971","0.4750739336013794","1.0824452638626099"
"5600","1.9522025108337402","1.7896442413330078","2.101771593093872","2.348456072807312","1.763435959815979","3.03625226020813","1.0643609523773194","0.3908268213272095","1.3664718866348267","0.8011979997158051","0.4992511570453644","1.2181237936019897"
"5800","1.9669893503189086","1.7451910972595215","2.1805663108825684","2.36059033870697","1.7479013204574585","2.994844436645508","1.0104664385318756","0.3381916582584381","1.4419195652008057","0.8840551853179932","0.5262839794158936","1.3844670057296753"
"6000","1.9589178562164307","1.6725362539291382","2.102311611175537","2.3483839988708497","1.7096266746520996","2.966310739517212","0.8875641763210297","0.34826263785362244","1.3009830713272095","0.9820614814758301","0.5568986535072327","1.5814117193222046"
"6200","1.9064122676849364","1.570605754852295","2.062612771987915","2.4777591705322264","1.8159635066986084","3.6434731483459473","0.9552622497081756","0.3695155680179596","1.8196768760681152","1.0954066872596742","0.5925494432449341","1.797170877456665"
"6400","1.7706661224365234","1.475805401802063","1.98527193069458","2.442486047744751","1.7761952877044678","3.6253371238708496","0.8880922496318817","0.3918727934360504","1.3184312582015991","1.2222952365875244","0.6352624893188477","2.0134754180908203"
"6600","1.7508891820907593","1.653630256652832","1.8994648456573486","2.3431654453277586","1.8511995077133179","2.9476916790008545","0.8744544267654419","0.5387035012245178","1.123520016670227","1.3646659851074219","0.6875746250152588","2.229794502258301"
"6800","1.7604299068450928","1.6120506525039673","2.0038044452667236","2.379535412788391","1.8798407316207886","3.0152482986450195","0.719656240940094","0.5592400431632996","0.850977897644043","1.5225122451782227","0.7534502744674683","2.444460391998291"
"7000","1.858848547935486","1.5511142015457153","2.1456212997436523","2.2972744703292847","1.734704613685608","3.157273769378662","0.6623297810554505","0.5200399160385132","0.8000292778015137","1.6889621138572692","0.8389618992805481","2.641106367111206"
"7200","1.81506507396698","1.5381284952163696","2.1343867778778076","2.3386056900024412","1.8853917121887207","3.100262403488159","0.6148463606834411","0.43738245964050293","0.8176543116569519","1.8607936382293702","0.9525158405303955","2.8085532188415527"
"7400","1.7334219455718993","1.4036531448364258","2.066628932952881","2.37981276512146","1.6007559299468994","3.3029744625091553","0.537297785282135","0.3533947765827179","0.8886052966117859","2.0366469383239747","1.1010055541992188","2.9469079971313477"
"7600","1.8204581975936889","1.4920908212661743","2.2815935611724854","2.423783564567566","1.8362919092178345","3.2937538623809814","0.8776934027671814","0.29403024911880493","1.205202579498291","2.2125417232513427","1.2846843004226685","3.0591793060302734"
"7800","1.7796488285064698","1.497388243675232","2.225696563720703","2.274062180519104","1.3031014204025269","3.6671109199523926","0.7234533309936524","0.54408860206604","1.0678269863128662","2.3828843355178835","1.4903780221939087","3.1495532989501953"
"8000","1.822307276725769","1.5299321413040161","2.161668539047241","2.2602270364761354","1.242020606994629","3.534813165664673","0.6051414489746094","0.3090250492095947","1.0136833190917969","2.542961573600769","1.7052372694015503","3.252735137939453"
"8200","1.8242658853530884","1.4935804605484009","2.3377270698547363","2.294224977493286","1.4002858400344849","3.4661877155303955","0.5489504039287567","0.3197697103023529","0.9351015090942383","2.6889697551727294","1.9196062088012695","3.4200451374053955"
"8400","1.823342204093933","1.4935678243637085","2.3166916370391846","2.1001916408538817","1.278778314590454","3.0138745307922363","0.47299250960350037","0.2969696819782257","0.8149353265762329","2.817890501022339","2.122892141342163","3.5545883178710938"
"8600","1.7603928565979003","1.2928745746612549","2.297193765640259","2.1231256246566774","1.457473874092102","2.878718137741089","0.4249057799577713","0.23728220164775848","0.9059336185455322","2.928435754776001","2.3067734241485596","3.6617701053619385"
"8800","1.7200876235961915","1.3132843971252441","2.3458809852600098","2.3018770694732664","1.3656343221664429","3.8291804790496826","0.4582438081502914","0.18156518042087555","1.041203498840332","3.021744155883789","2.468714475631714","3.746838331222534"
"9000","1.6778002500534057","1.277043342590332","2.2506496906280518","2.3742141008377073","1.492957592010498","3.8387255668640137","0.5246832728385925","0.333076149225235","0.769429624080658","3.1007907390594482","2.611466646194458","3.8142788410186768"
"9200","1.7238871335983277","1.4264148473739624","2.1712071895599365","2.178697395324707","1.3568663597106934","3.0971875190734863","0.4055018603801727","0.30407851934432983","0.6654617190361023","3.168405294418335","2.736063241958618","3.867640733718872"
"9400","1.8283580780029296","1.4651740789413452","2.5210392475128174","2.291215968132019","1.5690330266952515","3.073470115661621","0.3624477803707123","0.25276288390159607","0.5709556937217712","3.225761604309082","2.841705560684204","3.909984827041626"
"9600","1.8137945175170898","1.4225635528564453","2.4773178100585938","2.3518560886383058","1.437427282333374","3.061624526977539","0.4745313048362732","0.31613487005233765","0.6806434988975525","3.273737001419067","2.9298596382141113","3.9435558319091797"
"9800","1.7904721975326539","1.2706977128982544","2.4530320167541504","2.249384379386902","1.6101619005203247","3.1711931228637695","0.46348289847373964","0.3082943558692932","0.759821891784668","3.313619375228882","3.0032331943511963","3.9702701568603516"
"10000","1.6518250703811646","1.3099422454833984","2.1212406158447266","2.272239899635315","1.5041199922561646","2.892298698425293","0.4513472139835358","0.287539541721344","0.6134068965911865","3.347172498703003","3.065868854522705","3.991750955581665"
