"Step","mlp-pre-ra-eps-1e-8 - test/accuracy","mlp-pre-ra-eps-1e-8 - test/accuracy__MIN","mlp-pre-ra-eps-1e-8 - test/accuracy__MAX","attn-pre-ra-eps-1e-8 - test/accuracy","attn-pre-ra-eps-1e-8 - test/accuracy__MIN","attn-pre-ra-eps-1e-8 - test/accuracy__MAX","pre-ra-eps-1e-8 - test/accuracy","pre-ra-eps-1e-8 - test/accuracy__MIN","pre-ra-eps-1e-8 - test/accuracy__MAX","none-ra-eps-1e-8 - test/accuracy","none-ra-eps-1e-8 - test/accuracy__MIN","none-ra-eps-1e-8 - test/accuracy__MAX"
"13","0.005594092886894941","0.005594092886894941","0.005594092886894941","0.007272320333868265","0.007272320333868265","0.007272320333868265","0.00760796619579196","0.00760796619579196","0.00760796619579196","0.0042515103705227375","0.0042515103705227375","0.0042515103705227375"
"14","0.005370329134166241","0.005370329134166241","0.005370329134166241","0.007384202443063259","0.007384202443063259","0.007384202443063259","0.007496084086596966","0.007496084086596966","0.007496084086596966","0.0035802193451672792","0.0035802193451672792","0.0035802193451672792"
"15","0.005705974530428648","0.005705974530428648","0.005705974530428648","0.007048557046800852","0.007048557046800852","0.007048557046800852","0.0066010295413434505","0.0066010295413434505","0.0066010295413434505","0.00380398309789598","0.00380398309789598","0.00380398309789598"
"16","0.005705974530428648","0.005705974530428648","0.005705974530428648","0.00760796619579196","0.00760796619579196","0.00760796619579196","0.005705974530428648","0.005705974530428648","0.005705974530428648","0.0033564555924385786","0.0033564555924385786","0.0033564555924385786"
"17","0.005705974530428648","0.005705974530428648","0.005705974530428648","0.007048557046800852","0.007048557046800852","0.007048557046800852","0.005482210777699947","0.005482210777699947","0.005482210777699947","0.0036921012215316296","0.0036921012215316296","0.0036921012215316296"
"18","0.005258447024971247","0.005258447024971247","0.005258447024971247","0.006824793294072151","0.006824793294072151","0.006824793294072151","0.005817856639623642","0.005817856639623642","0.005817856639623642","0.00380398309789598","0.00380398309789598","0.00380398309789598"
"19","0.005482210777699947","0.005482210777699947","0.005482210777699947","0.007048557046800852","0.007048557046800852","0.007048557046800852","0.005929738283157349","0.005929738283157349","0.005929738283157349","0.00391586497426033","0.00391586497426033","0.00391586497426033"
"20","0.005258447024971247","0.005258447024971247","0.005258447024971247","0.0071604386903345585","0.0071604386903345585","0.0071604386903345585","0.006153502035886049","0.006153502035886049","0.006153502035886049","0.00391586497426033","0.00391586497426033","0.00391586497426033"
"21","0.005594092886894941","0.005594092886894941","0.005594092886894941","0.007048557046800852","0.007048557046800852","0.007048557046800852","0.005482210777699947","0.005482210777699947","0.005482210777699947","0.00380398309789598","0.00380398309789598","0.00380398309789598"
"22","0.0066010295413434505","0.0066010295413434505","0.0066010295413434505","0.006936674937605858","0.006936674937605858","0.006936674937605858","0.006041619926691055","0.006041619926691055","0.006041619926691055","0.004139628726989031","0.004139628726989031","0.004139628726989031"
"23","0.005258447024971247","0.005258447024971247","0.005258447024971247","0.007719847839325666","0.007719847839325666","0.007719847839325666","0.006265383679419756","0.006265383679419756","0.006265383679419756","0.004139628726989031","0.004139628726989031","0.004139628726989031"
"24","0.005034683272242546","0.005034683272242546","0.005034683272242546","0.008279257453978062","0.008279257453978062","0.008279257453978062","0.006489147432148457","0.006489147432148457","0.006489147432148457","0.0043633924797177315","0.0043633924797177315","0.0043633924797177315"
"25","0.004922801628708839","0.004922801628708839","0.004922801628708839","0.008950548246502876","0.008950548246502876","0.008950548246502876","0.00760796619579196","0.00760796619579196","0.00760796619579196","0.004139628726989031","0.004139628726989031","0.004139628726989031"
"26","0.00514656538143754","0.00514656538143754","0.00514656538143754","0.009174312464892864","0.009174312464892864","0.009174312464892864","0.007384202443063259","0.007384202443063259","0.007384202443063259","0.0036921012215316296","0.0036921012215316296","0.0036921012215316296"
"27","0.005594092886894941","0.005594092886894941","0.005594092886894941","0.009509957395493984","0.009509957395493984","0.009509957395493984","0.00783172994852066","0.00783172994852066","0.00783172994852066","0.00391586497426033","0.00391586497426033","0.00391586497426033"
"28","0.005705974530428648","0.005705974530428648","0.005705974530428648","0.009733721613883972","0.009733721613883972","0.009733721613883972","0.00760796619579196","0.00760796619579196","0.00760796619579196","0.00391586497426033","0.00391586497426033","0.00391586497426033"
"29","0.006041619926691055","0.006041619926691055","0.006041619926691055","0.009733721613883972","0.009733721613883972","0.009733721613883972","0.008279257453978062","0.008279257453978062","0.008279257453978062","0.00391586497426033","0.00391586497426033","0.00391586497426033"
"30","0.00637726578861475","0.00637726578861475","0.00637726578861475","0.010628776624798775","0.010628776624798775","0.010628776624798775","0.00760796619579196","0.00760796619579196","0.00760796619579196","0.004139628726989031","0.004139628726989031","0.004139628726989031"
"31","0.006824793294072151","0.006824793294072151","0.006824793294072151","0.01130006741732359","0.01130006741732359","0.01130006741732359","0.007719847839325666","0.007719847839325666","0.007719847839325666","0.004027746617794037","0.004027746617794037","0.004027746617794037"
"32","0.00760796619579196","0.00760796619579196","0.00760796619579196","0.012530767358839512","0.012530767358839512","0.012530767358839512","0.007496084086596966","0.007496084086596966","0.007496084086596966","0.004587156232446432","0.004587156232446432","0.004587156232446432"
"33","0.008055493235588074","0.008055493235588074","0.008055493235588074","0.01454464066773653","0.01454464066773653","0.01454464066773653","0.007496084086596966","0.007496084086596966","0.007496084086596966","0.004699037875980139","0.004699037875980139","0.004699037875980139"
"34","0.008055493235588074","0.008055493235588074","0.008055493235588074","0.01734168827533722","0.01734168827533722","0.01734168827533722","0.007719847839325666","0.007719847839325666","0.007719847839325666","0.004699037875980139","0.004699037875980139","0.004699037875980139"
"35","0.008167375810444355","0.008167375810444355","0.008167375810444355","0.019355561584234238","0.019355561584234238","0.019355561584234238","0.008726784959435463","0.008726784959435463","0.008726784959435463","0.0048109195195138454","0.0048109195195138454","0.0048109195195138454"
"36","0.00883866660296917","0.00883866660296917","0.00883866660296917","0.021369434893131256","0.021369434893131256","0.021369434893131256","0.009062429890036583","0.009062429890036583","0.009062429890036583","0.004699037875980139","0.004699037875980139","0.004699037875980139"
"37","0.008503020741045475","0.008503020741045475","0.008503020741045475","0.023271426558494568","0.023271426558494568","0.023271426558494568","0.009733721613883972","0.009733721613883972","0.009733721613883972","0.004587156232446432","0.004587156232446432","0.004587156232446432"
"38","0.009509957395493984","0.009509957395493984","0.009509957395493984","0.02584470808506012","0.02584470808506012","0.02584470808506012","0.010181249119341373","0.010181249119341373","0.010181249119341373","0.004475274123251438","0.004475274123251438","0.004475274123251438"
"39","0.010516894049942493","0.010516894049942493","0.010516894049942493","0.029201164841651917","0.029201164841651917","0.029201164841651917","0.011523830704391003","0.011523830704391003","0.011523830704391003","0.004139628726989031","0.004139628726989031","0.004139628726989031"
"40","0.010628776624798775","0.010628776624798775","0.010628776624798775","0.03300514817237854","0.03300514817237854","0.03300514817237854","0.012195122428238392","0.012195122428238392","0.012195122428238392","0.004027746617794037","0.004027746617794037","0.004027746617794037"
"41","0.010405012406408787","0.010405012406408787","0.010405012406408787","0.03770418465137482","0.03770418465137482","0.03770418465137482","0.0127545315772295","0.0127545315772295","0.0127545315772295","0.00391586497426033","0.00391586497426033","0.00391586497426033"
"42","0.01130006741732359","0.01130006741732359","0.01130006741732359","0.04150816798210144","0.04150816798210144","0.04150816798210144","0.014432759024202824","0.014432759024202824","0.014432759024202824","0.0036921012215316296","0.0036921012215316296","0.0036921012215316296"
"43","0.012195122428238392","0.012195122428238392","0.012195122428238392","0.04732602462172508","0.04732602462172508","0.04732602462172508","0.015327814035117626","0.015327814035117626","0.015327814035117626","0.0035802193451672792","0.0035802193451672792","0.0035802193451672792"
"44","0.013537704013288021","0.013537704013288021","0.013537704013288021","0.05292011797428131","0.05292011797428131","0.05292011797428131","0.017117923125624657","0.017117923125624657","0.017117923125624657","0.00391586497426033","0.00391586497426033","0.00391586497426033"
"45","0.01454464066773653","0.01454464066773653","0.01454464066773653","0.06019243597984314","0.06019243597984314","0.06019243597984314","0.01834862492978573","0.01834862492978573","0.01834862492978573","0.0042515103705227375","0.0042515103705227375","0.0042515103705227375"
"46","0.01566345989704132","0.01566345989704132","0.01566345989704132","0.06712911278009415","0.06712911278009415","0.06712911278009415","0.019131796434521675","0.019131796434521675","0.019131796434521675","0.0043633924797177315","0.0043633924797177315","0.0043633924797177315"
"47","0.016558514907956123","0.016558514907956123","0.016558514907956123","0.07339449971914291","0.07339449971914291","0.07339449971914291","0.020362498238682747","0.020362498238682747","0.020362498238682747","0.004027746617794037","0.004027746617794037","0.004027746617794037"
"48","0.01700604148209095","0.01700604148209095","0.01700604148209095","0.08044305443763733","0.08044305443763733","0.08044305443763733","0.021033788099884987","0.021033788099884987","0.021033788099884987","0.00380398309789598","0.00380398309789598","0.00380398309789598"
"49","0.018236741423606873","0.018236741423606873","0.018236741423606873","0.08693220466375351","0.08693220466375351","0.08693220466375351","0.02226448990404606","0.02226448990404606","0.02226448990404606","0.0036921012215316296","0.0036921012215316296","0.0036921012215316296"
"50","0.019243678078055382","0.019243678078055382","0.019243678078055382","0.09610651433467865","0.09610651433467865","0.09610651433467865","0.02349518984556198","0.02349518984556198","0.02349518984556198","0.003468337468802929","0.003468337468802929","0.003468337468802929"
"51","0.020810024812817574","0.020810024812817574","0.020810024812817574","0.10785410553216934","0.10785410553216934","0.10785410553216934","0.02517341636121273","0.02517341636121273","0.02517341636121273","0.0035802193451672792","0.0035802193451672792","0.0035802193451672792"
"52","0.02260013483464718","0.02260013483464718","0.02260013483464718","0.11490266770124435","0.11490266770124435","0.11490266770124435","0.026963526383042336","0.026963526383042336","0.026963526383042336","0.0033564555924385786","0.0033564555924385786","0.0033564555924385786"
"53","0.025956589728593826","0.025956589728593826","0.025956589728593826","0.12441261857748032","0.12441261857748032","0.12441261857748032","0.02942492812871933","0.02942492812871933","0.02942492812871933","0.0030208099633455276","0.0030208099633455276","0.0030208099633455276"
"54","0.028641754761338234","0.028641754761338234","0.028641754761338234","0.13358692824840546","0.13358692824840546","0.13358692824840546","0.031550683081150055","0.031550683081150055","0.031550683081150055","0.00257328269071877","0.00257328269071877","0.00257328269071877"
"55","0.03143880143761635","0.03143880143761635","0.03143880143761635","0.14354442059993744","0.14354442059993744","0.14354442059993744","0.03490713983774185","0.03490713983774185","0.03490713983774185","0.0032445737160742283","0.0032445737160742283","0.0032445737160742283"
"56","0.03378831967711449","0.03378831967711449","0.03378831967711449","0.1548444926738739","0.1548444926738739","0.1548444926738739","0.03803982958197594","0.03803982958197594","0.03803982958197594","0.0033564555924385786","0.0033564555924385786","0.0033564555924385786"
"57","0.036809131503105164","0.036809131503105164","0.036809131503105164","0.16424256563186646","0.16424256563186646","0.16424256563186646","0.041396286338567734","0.041396286338567734","0.041396286338567734","0.0030208099633455276","0.0030208099633455276","0.0030208099633455276"
"58","0.041060641407966614","0.041060641407966614","0.041060641407966614","0.17240993678569794","0.17240993678569794","0.17240993678569794","0.045983441174030304","0.045983441174030304","0.045983441174030304","0.002908928319811821","0.002908928319811821","0.002908928319811821"
"59","0.043633922934532166","0.043633922934532166","0.043633922934532166","0.18169613182544708","0.18169613182544708","0.18169613182544708","0.05001118779182434","0.05001118779182434","0.05001118779182434","0.0023495189379900694","0.0023495189379900694","0.0023495189379900694"
"60","0.048892371356487274","0.048892371356487274","0.048892371356487274","0.19165362417697906","0.19165362417697906","0.19165362417697906","0.05403893440961838","0.05403893440961838","0.05403893440961838","0.0023495189379900694","0.0023495189379900694","0.0023495189379900694"
"61","0.05191317945718765","0.05191317945718765","0.05191317945718765","0.20004475116729736","0.20004475116729736","0.20004475116729736","0.05840232968330383","0.05840232968330383","0.05840232968330383","0.002237637061625719","0.002237637061625719","0.002237637061625719"
"62","0.0561646893620491","0.0561646893620491","0.0561646893620491","0.2093309462070465","0.2093309462070465","0.2093309462070465","0.061982546001672745","0.061982546001672745","0.061982546001672745","0.0020138733088970184","0.0020138733088970184","0.0020138733088970184"
"63","0.059968672692775726","0.059968672692775726","0.059968672692775726","0.2194003164768219","0.2194003164768219","0.2194003164768219","0.0663459375500679","0.0663459375500679","0.0663459375500679","0.00190199154894799","0.00190199154894799","0.00190199154894799"
"64","0.0645558312535286","0.0645558312535286","0.0645558312535286","0.22924591600894928","0.22924591600894928","0.22924591600894928","0.0698142796754837","0.0698142796754837","0.0698142796754837","0.0020138733088970184","0.0020138733088970184","0.0020138733088970184"
"65","0.06914298981428146","0.06914298981428146","0.06914298981428146","0.23763705790042877","0.23763705790042877","0.23763705790042877","0.07395390421152115","0.07395390421152115","0.07395390421152115","0.002237637061625719","0.002237637061625719","0.002237637061625719"
