"Step","model.ln_type: mlp-pre - alpha_req/effective_rank_test","model.ln_type: mlp-pre - alpha_req/effective_rank_test__MIN","model.ln_type: mlp-pre - alpha_req/effective_rank_test__MAX","model.ln_type: pre - alpha_req/effective_rank_test","model.ln_type: pre - alpha_req/effective_rank_test__MIN","model.ln_type: pre - alpha_req/effective_rank_test__MAX","model.ln_type: attn-pre - alpha_req/effective_rank_test","model.ln_type: attn-pre - alpha_req/effective_rank_test__MIN","model.ln_type: attn-pre - alpha_req/effective_rank_test__MAX","model.ln_type: off - alpha_req/effective_rank_test","model.ln_type: off - alpha_req/effective_rank_test__MIN","model.ln_type: off - alpha_req/effective_rank_test__MAX"
"2000","14.731750679016113","11.84136962890625","18.08013916015625","29.810798835754394","12.32420825958252","39.08977508544922","55.84106674194336","52.04518127441406","58.7993049621582","35.81026000976563","26.142452239990234","42.111934661865234"
"2200","13.692218780517578","11.404023170471191","16.28573226928711","23.245867919921874","8.91877555847168","35.72615051269531","55.23976440429688","52.25788497924805","57.601402282714844","35.5120044708252","25.392532348632812","42.34473419189453"
"2400","11.89428253173828","8.212411880493164","14.657959938049316","20.811716651916505","9.076743125915527","29.17908477783203","54.96052551269531","50.910091400146484","57.206092834472656","35.149183654785155","24.651819229125977","42.69957733154297"
"2600","13.197821235656738","10.978374481201172","16.296043395996094","17.336473083496095","8.01207160949707","31.12049674987793","54.38978042602539","48.89566421508789","58.84811019897461","34.72586555480957","23.889209747314453","42.98904800415039"
"2800","12.776656532287598","11.29716968536377","15.32807445526123","14.704114532470703","8.728302955627441","27.286762237548828","54.10187301635742","46.598506927490234","59.09040832519531","34.28450050354004","23.146339416503906","43.24750900268555"
"3000","10.99068250656128","7.79984712600708","14.259220123291016","11.228809547424316","8.359854698181152","15.140458106994629","52.659201049804686","44.26583480834961","57.30970764160156","33.82206726074219","22.422876358032227","43.464561462402344"
"3200","9.8110182762146","7.499142169952393","12.865425109863281","10.134504318237305","8.468360900878906","12.342368125915527","52.269097900390626","44.35868453979492","57.05691146850586","33.36270523071289","21.710193634033203","43.6599235534668"
"3400","9.665156745910645","5.2594146728515625","12.102051734924316","8.038008880615234","4.808427333831787","10.614416122436523","49.90874481201172","34.3016242980957","59.163883209228516","32.88144378662109","20.990211486816406","43.811912536621094"
"3600","9.370919036865235","7.696967124938965","11.932293891906738","8.62809133529663","5.061460494995117","12.624911308288574","46.26951560974121","22.18052864074707","57.30462646484375","32.388484954833984","20.270782470703125","43.88713455200195"
"3800","9.297727680206298","6.126650333404541","11.211592674255371","8.87823486328125","5.134284019470215","12.499570846557617","43.640817642211914","16.82512092590332","56.285152435302734","31.87564125061035","19.547250747680664","43.9100456237793"
"4000","9.730724716186524","8.003325462341309","11.202104568481445","8.10781307220459","5.542115211486816","12.185309410095215","42.73936729431152","16.740541458129883","55.96406173706055","31.34364013671875","18.801982879638672","43.85324478149414"
"4200","9.17783727645874","7.567203044891357","10.258123397827148","8.490757369995118","4.934909343719482","13.209403991699219","41.15546627044678","15.375662803649902","55.82025146484375","30.778990173339842","18.007354736328125","43.69123458862305"
"4400","8.542896366119384","6.226009845733643","10.199576377868652","7.955800914764405","4.312829971313477","12.352100372314453","39.15750389099121","14.226112365722656","57.45151901245117","30.154860305786134","17.126300811767578","43.36848068237305"
"4600","9.89957914352417","7.6243367195129395","11.651851654052734","8.515558433532714","4.533700942993164","12.537049293518066","36.51972904205322","13.327983856201172","55.91204833984375","29.427904891967774","16.0579776763916","42.72200012207031"
"4800","9.3120361328125","7.84727144241333","10.959981918334961","8.523434066772461","5.445487022399902","11.962654113769531","33.770386695861816","11.708739280700684","55.6058349609375","28.532068824768068","14.779906272888184","41.579559326171875"
"5000","8.767901420593262","6.447426795959473","9.807519912719727","8.127729225158692","4.648998260498047","11.913385391235352","29.826673698425292","9.883731842041016","55.335933685302734","27.42415657043457","13.233922958374023","39.7067985534668"
"5200","9.541460227966308","7.939480781555176","10.848320960998535","7.364428329467773","4.92271614074707","10.276269912719727","27.716150856018068","10.619792938232422","54.92332077026367","26.140812492370607","11.564299583435059","37.175899505615234"
"5400","9.198595428466797","6.557962894439697","12.916820526123047","7.816300106048584","4.657119274139404","11.67094612121582","25.86484298706055","10.851934432983398","56.00004577636719","24.717960548400878","9.841066360473633","35.6016845703125"
"5600","8.575337982177734","5.279789924621582","11.77757740020752","8.342993927001952","5.598865509033203","11.391802787780762","24.36702709197998","10.03237247467041","53.68183135986328","23.209574890136718","8.272178649902344","34.782222747802734"
"5800","9.453133869171143","7.494130611419678","13.067562103271484","7.983930778503418","4.466195106506348","11.005674362182617","22.82801055908203","9.019930839538574","51.86222839355469","21.64619607925415","7.0048041343688965","33.92353820800781"
"6000","10.014716148376465","7.578156471252441","13.034964561462402","7.785920810699463","4.5340895652771","10.734068870544434","21.405953216552735","8.323530197143555","49.21773910522461","20.097741222381593","6.13612699508667","32.985843658447266"
"6200","8.335891819000244","7.032661437988281","9.858187675476074","7.413384914398193","5.413273811340332","10.014434814453125","20.023658657073973","7.9223198890686035","45.43595504760742","18.750891876220702","5.972749710083008","32.02408981323242"
"6400","9.955458831787109","7.515852928161621","13.435928344726562","8.258559513092042","6.325920581817627","11.044958114624023","18.945742416381837","8.274377822875977","40.54458236694336","17.828579235076905","7.016772747039795","30.920381546020508"
"6600","9.065314960479736","5.988678455352783","12.825177192687988","7.931735515594482","4.655879974365234","10.428716659545898","18.76561336517334","8.85034465789795","39.19778060913086","17.16246862411499","7.422469615936279","29.659059524536133"
"6800","9.422244453430176","6.839114189147949","11.265090942382812","7.928216552734375","4.859918117523193","11.65813159942627","16.898299980163575","8.573429107666016","31.744047164916992","16.266205024719238","6.472574234008789","28.117305755615234"
"7000","9.421772480010986","7.363283634185791","12.73417854309082","7.757027530670166","4.9404730796813965","10.428532600402832","15.15087070465088","8.217358589172363","23.92818260192871","15.211518478393554","5.73939323425293","26.05573081970215"
"7200","9.412580394744873","6.990264415740967","11.618598937988281","8.776389884948731","5.721493244171143","12.010885238647461","14.513578987121582","7.932461738586426","20.8619441986084","14.04975118637085","5.123786449432373","23.26595687866211"
"7400","8.578923320770263","7.046289920806885","9.86353874206543","7.980744028091431","3.935929536819458","10.287792205810547","13.989569282531738","7.756156921386719","19.208232879638672","12.75421495437622","4.602308750152588","19.394561767578125"
"7600","9.572525882720948","7.0422282218933105","12.137343406677246","8.053923797607421","4.878767013549805","11.035571098327637","14.100273895263673","8.393680572509766","19.597742080688477","11.549934005737304","4.199275970458984","15.302908897399902"
"7800","9.023291206359863","6.790415287017822","13.20287799835205","8.133626556396484","5.074772357940674","10.686332702636719","14.12627124786377","8.235650062561035","18.675682067871094","10.70502791404724","3.9422619342803955","15.182693481445312"
"8000","9.506540489196777","7.699013710021973","12.793107986450195","8.680575847625732","6.425824165344238","11.615737915039062","13.671872329711913","8.003785133361816","17.66768455505371","10.13093614578247","3.77748966217041","15.06987190246582"
"8200","9.847531986236572","7.8871541023254395","12.842578887939453","8.776543998718262","4.884604454040527","11.091662406921387","13.414125728607178","7.807370662689209","16.878658294677734","9.701990365982056","3.7015087604522705","14.955089569091797"
"8400","8.084950637817382","4.986971378326416","11.206082344055176","8.21911563873291","4.819175720214844","10.716676712036133","12.98950424194336","7.6247148513793945","16.21196174621582","9.34556155204773","3.6529366970062256","14.860832214355469"
"8600","8.70476837158203","6.019618988037109","10.235501289367676","6.914556264877319","3.9434401988983154","10.975080490112305","12.792388916015625","8.012856483459473","15.821148872375488","9.04317398071289","3.624044418334961","14.780441284179688"
"8800","9.419638633728027","7.8407487869262695","10.952271461486816","7.764166927337646","4.406544208526611","9.936594009399414","12.850312423706054","8.333812713623047","16.262901306152344","8.808893966674805","3.604440212249756","14.720185279846191"
"9000","8.803368663787841","7.198348522186279","12.154274940490723","8.223765754699707","4.742151737213135","10.384614944458008","12.885602569580078","8.207490921020508","16.037370681762695","8.628027486801148","3.5897605419158936","14.647493362426758"
"9200","9.891577911376952","7.568682670593262","11.971001625061035","8.117728233337402","4.969771385192871","11.399516105651855","12.665261840820312","8.134757041931152","16.025135040283203","8.510078287124633","3.5750629901885986","14.592617988586426"
"9400","9.786774921417237","7.487295627593994","12.98684024810791","7.3690907001495365","3.5786702632904053","10.92917251586914","12.763753700256348","8.298656463623047","15.284875869750977","8.43994688987732","3.5625994205474854","14.55056095123291"
"9600","8.887112140655518","6.611638069152832","11.589301109313965","7.402134895324707","5.081610679626465","10.353191375732422","12.612658500671387","8.129453659057617","14.863184928894043","8.389666557312012","3.5540976524353027","14.503241539001465"
"9800","9.293584156036378","6.907751560211182","11.086676597595215","8.242988014221192","5.273293972015381","10.862229347229004","12.68780460357666","7.987825393676758","15.596138000488281","8.357034969329835","3.5461997985839844","14.466548919677734"
"10000","9.693279647827149","7.605236053466797","12.922558784484863","8.426202964782714","5.867049217224121","10.492908477783203","12.799072074890137","8.323189735412598","15.302083015441895","8.335450601577758","3.542903184890747","14.434880256652832"
