"Step","model.output_scaling: 0.75 - ntk/relative_distance","model.output_scaling: 0.75 - ntk/relative_distance__MIN","model.output_scaling: 0.75 - ntk/relative_distance__MAX","model.output_scaling: 1.5 - ntk/relative_distance","model.output_scaling: 1.5 - ntk/relative_distance__MIN","model.output_scaling: 1.5 - ntk/relative_distance__MAX","model.output_scaling: 1.25 - ntk/relative_distance","model.output_scaling: 1.25 - ntk/relative_distance__MIN","model.output_scaling: 1.25 - ntk/relative_distance__MAX","model.output_scaling: 1 - ntk/relative_distance","model.output_scaling: 1 - ntk/relative_distance__MIN","model.output_scaling: 1 - ntk/relative_distance__MAX","model.output_scaling: 0.5 - ntk/relative_distance","model.output_scaling: 0.5 - ntk/relative_distance__MIN","model.output_scaling: 0.5 - ntk/relative_distance__MAX"
"2000","302.21596374511716","182.53318786621094","412.666748046875","329.3255310058594","214.9035186767578","536.84326171875","278.6581176757812","198.48834228515625","433.48443603515625","262.13539428710936","193.29954528808594","332.2987976074219","1278.249966430664","128.521484375","4588.36572265625"
"2200","299.88364868164064","169.81703186035156","411.2486877441406","298.46990356445315","195.50665283203125","461.6690979003906","251.6958801269531","183.6300048828125","366.7012634277344","242.87793884277343","167.90481567382812","320.1641845703125","2013.251838684082","124.78894805908203","7493.7861328125"
"2400","306.19801635742186","162.78823852539062","432.0757751464844","274.2057861328125","179.1120147705078","401.8630065917969","232.3365966796875","163.61831665039062","317.62225341796875","231.9006317138672","150.75572204589844","314.832763671875","2588.3686553955076","125.73326110839844","9379.0234375"
"2600","316.7158538818359","158.71023559570312","476.4129333496094","255.3020782470703","161.78036499023438","354.6885070800781","218.44354248046875","146.91940307617188","280.9764099121094","226.1761260986328","138.72886657714844","313.8108825683594","2505.9750839233398","127.38573455810547","8552.8818359375"
"2800","331.8758270263672","156.47756958007812","531.876708984375","240.60293579101562","147.62974548339844","317.1315002441406","208.51929626464843","133.8709259033203","267.4341735839844","223.83405151367188","129.9111785888672","315.54510498046875","1749.4167907714843","128.93255615234375","4852.50244140625"
"3000","357.3965606689453","155.69200134277344","615.6640014648438","229.22402954101562","135.97613525390625","307.94122314453125","201.5211669921875","123.52008056640625","266.8641357421875","223.7112609863281","123.12913513183594","319.1064147949219","1163.0880798339845","130.22116088867188","2399.15966796875"
"3200","392.7902069091797","156.50132751464844","738.9580078125","220.5059356689453","126.29318237304688","307.4516296386719","196.73816375732423","115.19048309326172","268.3537292480469","225.0909652709961","117.6830825805664","323.9958801269531","913.9455139160157","131.23101806640625","1862.3919677734375"
"3400","423.5807800292969","158.674560546875","865.9397583007812","213.9204116821289","118.1664810180664","308.2852783203125","193.66806030273438","108.39158630371094","271.6175842285156","227.52221069335937","113.14839172363281","329.8565979003906","835.5108703613281","131.9697265625","1778.6597900390625"
"3600","414.7431945800781","161.16949462890625","801.2838745117188","209.04422607421876","111.27546691894531","310.17962646484375","191.9416519165039","102.75389862060547","276.42889404296875","230.73089294433595","109.31158447265625","336.4594421386719","827.7425262451172","132.5180206298828","1775.8299560546875"
"3800","366.9016815185547","163.6986846923828","528.6705322265625","205.5503707885742","105.3792495727539","312.9223937988281","191.27700958251953","97.9931869506836","282.60870361328125","234.48784790039062","105.92866516113281","343.63037109375","832.9850341796875","132.966552734375","1789.5531005859375"
"4000","319.81703491210936","166.12921142578125","430.42333984375","203.17989501953124","100.29180908203125","316.345458984375","191.46072998046876","93.89913940429688","289.99993896484375","238.64862518310548","102.76871490478516","351.4260559082031","838.7323120117187","133.3909912109375","1807.0498046875"
"4200","296.2669189453125","155.57089233398438","440.4548034667969","201.72411193847657","95.8622817993164","320.3343200683594","192.36087493896486","90.33431243896484","298.52099609375","243.18411865234376","99.65876770019531","360.1872863769531","844.2772552490235","133.7226104736328","1825.5750732421875"
"4400","282.30396423339846","148.21908569335938","445.0462646484375","201.01314392089844","91.95708465576172","324.7580871582031","193.87578430175782","87.18363952636719","308.065185546875","248.22279205322266","96.6191635131836","370.6502990722656","849.4501312255859","133.9907684326172","1844.0953369140625"
"4600","264.5080902099609","150.33763122558594","448.72894287109375","200.91534423828125","88.47071075439453","329.52423095703125","195.9180892944336","84.3352279663086","318.531982421875","254.04649658203124","93.86592102050781","383.948974609375","854.6421752929688","134.2181396484375","1864.2454833984375"
"4800","244.67434997558593","151.62071228027344","451.6914367675781","201.3235595703125","85.33320617675781","334.5359802246094","198.44847259521484","81.7704086303711","329.9227600097656","261.2488311767578","91.99192810058594","402.303955078125","862.1072021484375","134.41558837890625","1896.9976806640625"
"5000","231.07374267578126","152.50828552246094","454.00555419921875","202.15767822265624","82.49805450439453","339.7302551269531","201.46462860107422","79.4737319946289","342.36767578125","270.62642059326174","91.6926040649414","428.6632385253906","619.0651733398438","134.59298706054688","1026.53173828125"
"5200","222.84624633789062","144.1649932861328","455.7725524902344","203.36604919433594","79.92755126953125","345.0938720703125","204.97056274414064","77.42417907714844","356.0390930175781","283.62099304199216","93.11991882324219","469.74102783203125","1056.2072784423829","134.7574005126953","2860.969482421875"
"5400","218.27535095214844","133.71864318847656","457.07073974609375","204.92498626708985","77.58419036865234","350.63861083984375","208.9990997314453","75.63307189941406","371.2543029785156","302.18756103515625","95.67729187011719","535.609619140625","1577.771273803711","134.91285705566406","5465.77490234375"
"5600","218.52586364746094","140.0054473876953","457.9444885253906","206.8169372558594","75.4456787109375","356.3853454589844","213.69885864257813","74.20417785644531","388.7581481933594","327.60681610107423","98.41472625732422","632.22900390625","1926.3693878173829","135.05970764160156","7202.25537109375"
"5800","218.84270935058595","143.1050567626953","458.4209289550781","209.00985717773438","73.50312805175781","362.35302734375","219.31655578613282","73.19264221191406","409.72064208984375","358.13741912841795","100.6254653930664","750.1853637695312","2085.9653381347657","135.19509887695312","7994.58642578125"
"6000","218.28296508789063","140.1918182373047","458.5341491699219","211.46514282226562","71.75479125976562","368.5209655761719","225.6153533935547","72.45188903808594","433.0777282714844","381.74083709716797","102.32563018798828","829.3453369140625","1774.8076141357421","135.31394958496094","7069.3310546875"
"6200","217.28790893554688","134.2857208251953","458.34307861328125","214.15375061035155","70.20481872558594","374.8785095214844","231.68220977783204","71.82120513916016","454.4697570800781","371.1975158691406","101.83340454101562","734.2919311523438","1435.6302642822266","135.40956115722656","4443.67626953125"
"6400","215.996435546875","126.3193359375","457.93475341796875","217.04467163085937","68.87275695800781","381.5194396972656","235.2250732421875","71.22015380859375","462.5672607421875","320.08972015380857","94.19898223876953","553.6751098632812","1293.7979827880858","135.47364807128906","2580.255859375"
"6600","215.1511444091797","119.93896484375","457.41058349609375","220.05841979980468","67.79823303222656","388.474853515625","232.9952392578125","70.41059875488281","441.499755859375","288.3544036865234","81.29261779785156","599.9136962890625","1356.349624633789","135.4964141845703","3180.09375"
"6800","214.99468231201172","116.17008209228516","456.86505126953125","223.05614776611327","66.9975357055664","395.751708984375","224.33173217773438","69.89599609375","387.45611572265625","284.1726593017578","71.299072265625","639.162353515625","1070.3998046875","135.46697998046875","3293.942626953125"
"7000","215.40841369628907","114.09913635253906","456.365966796875","225.72319641113282","66.45980834960938","403.2653503417969","215.23878784179686","70.77262878417969","329.27813720703125","286.83898849487304","63.7265739440918","675.4000244140625","1052.53115234375","135.37954711914062","2553.28662109375"
"7200","216.44478454589844","113.19439697265625","455.9478454589844","227.5362121582031","66.17293548583984","411.054931640625","211.36219787597656","73.51239013671875","319.5792236328125","288.6047729492187","57.681427001953125","704.832275390625","1618.3994354248048","135.25059509277344","4983.7939453125"
"7400","218.41831817626954","113.28394317626953","455.6173095703125","227.9893768310547","66.14920806884766","419.22833251953125","212.15049896240234","77.07355499267578","326.9679870605469","288.7589286804199","53.25704574584961","734.3356323242188","2337.8511505126953","135.1366729736328","9046.2919921875"
"7600","221.87013092041016","114.35919952392578","455.3650207519531","227.29928436279297","66.44249725341797","427.9521789550781","214.82632446289062","80.09487915039062","335.1863708496094","290.7637351989746","50.32734298706055","777.033447265625","2605.8217681884767","135.1120147705078","10526.81640625"
"7800","226.9944854736328","116.58296203613281","455.1764221191406","226.01926879882814","67.10004425048828","437.4220275878906","218.23650207519532","82.13642883300781","344.922119140625","294.8780776977539","48.517616271972656","826.8310546875","2434.8329650878904","135.19534301757812","9724.87109375"
"8000","233.0517333984375","120.36427307128906","455.0374755859375","224.39453887939453","68.10352325439453","447.8036804199219","222.25487213134767","83.4911880493164","357.3620300292969","299.3346420288086","47.45037078857422","867.2794799804688","1758.4939270019531","135.3555908203125","6367.599609375"
"8200","239.1849853515625","126.28242492675781","454.93682861328125","222.44015350341797","69.39511108398438","459.07366943359375","227.04252166748046","84.49724578857422","373.8176574707031","303.0639450073242","46.85395050048828","893.91650390625","1104.0334411621093","135.54949951171875","3105.117919921875"
"8400","243.180029296875","134.4897918701172","454.86566162109375","220.18007202148436","70.88682556152344","470.9695129394531","232.90106658935548","85.3934097290039","395.9676513671875","306.662899017334","46.53336715698242","911.0269165039062","894.7529266357421","135.74290466308594","2051.727783203125"
"8600","245.26015014648436","143.95542907714844","454.8168029785156","217.9819534301758","72.44974517822266","483.3513488769531","240.2620620727539","86.2647476196289","426.1398620605469","310.5296806335449","46.3685417175293","922.4828491210938","709.3889007568359","135.90823364257812","1877.3260498046875"
"8800","247.03098754882814","150.72239685058594","454.78485107421875","216.4238540649414","73.9259033203125","496.3653564453125","249.9122085571289","87.0139389038086","468.6412048339844","314.3828460693359","46.28990173339844","930.4490356445312","891.7813049316406","136.00955200195312","1871.210693359375"
"9000","248.40509643554688","150.729248046875","454.76605224609375","216.22108154296876","75.09126281738281","510.67822265625","262.9395721435547","87.52822875976562","529.26123046875","317.63669357299807","46.25851058959961","936.1304321289062","1483.5982849121094","136.0467529296875","4004.586181640625"
"9200","248.71874389648437","150.735107421875","454.7577209472656","217.7073226928711","75.66941833496094","526.9063110351562","280.5409698486328","87.84347534179688","614.2242431640625","319.67109375","46.25416564941406","940.2544555664062","2063.712985229492","136.0314178466797","6877.94775390625"
"9400","248.4628173828125","150.740966796875","454.7581481933594","220.6707733154297","75.62409973144531","545.4857177734375","303.9590774536133","88.0631332397461","730.1266479492188","320.8248489379883","46.266761779785156","943.29150390625","2274.1353088378905","135.9178466796875","7893.4736328125"
"9600","248.31072082519532","150.7481231689453","454.76641845703125","224.80484771728516","75.11082458496094","567.0159912109375","334.3715194702148","88.24837493896484","882.6655883789062","321.7640655517578","46.28739929199219","945.5582275390625","1634.5588500976562","135.61297607421875","6200.5166015625"
"9800","248.23516540527345","150.75770568847656","454.7818603515625","229.8709274291992","74.28910827636719","591.9363403320312","371.2373931884766","88.41830444335938","1068.8846435546875","322.58875503540037","46.30751419067383","947.2717895507812","1483.508004760742","134.9907989501953","3135.69482421875"
"10000","248.19932861328124","150.7704620361328","454.8040466308594","235.63668670654297","73.23117065429688","620.05126953125","409.9850479125977","88.57549285888672","1266.740966796875","323.12828903198243","46.326595306396484","948.5806884765625","1850.3140380859375","134.21084594726562","6246.87060546875"
