"Step","model.output_scaling: 0.75 - grads/update_norm","model.output_scaling: 0.75 - grads/update_norm__MIN","model.output_scaling: 0.75 - grads/update_norm__MAX","model.output_scaling: 1.5 - grads/update_norm","model.output_scaling: 1.5 - grads/update_norm__MIN","model.output_scaling: 1.5 - grads/update_norm__MAX","model.output_scaling: 1.25 - grads/update_norm","model.output_scaling: 1.25 - grads/update_norm__MIN","model.output_scaling: 1.25 - grads/update_norm__MAX","model.output_scaling: 1 - grads/update_norm","model.output_scaling: 1 - grads/update_norm__MIN","model.output_scaling: 1 - grads/update_norm__MAX","model.output_scaling: 0.5 - grads/update_norm","model.output_scaling: 0.5 - grads/update_norm__MIN","model.output_scaling: 0.5 - grads/update_norm__MAX"
"1","0.46458653071020733","0.4628118534788381","0.46586248987364576","0.4693798410191471","0.4678788289911126","0.47033446350543373","0.46827162647728143","0.46653489259517905","0.46944450912448665","0.4667324379963844","0.4650502065725575","0.4679758256963553","0.4612120783933059","0.45936961097231405","0.4625641733080521"
"2","0.43375683095193696","0.432344800039812","0.43647512044435544","0.4235990140723914","0.42111638055049744","0.4267290564160157","0.42704620037021757","0.42500967725687644","0.430708574732473","0.4304942271910225","0.4290068997237541","0.43360075615727045","0.4354793899088262","0.4334963607210553","0.4378763172229219"
"3","0.41476358504927047","0.4109790731453438","0.4189574512390243","0.39303982898699646","0.38890779973201484","0.4011338012063243","0.4000085203479376","0.39680520301349004","0.40756395786634114","0.4073106505226553","0.403922957445254","0.4132682333095892","0.4205664316470812","0.41683273826801365","0.42368690287531524"
"4","0.3995838040029324","0.39322210861322676","0.40505096538614643","0.37008590988687995","0.36557322875027","0.38147267181213174","0.379014990982317","0.37345984827014733","0.3893955818123316","0.38887028897808795","0.38263352939217143","0.39705681654695435","0.4092785056723627","0.4036812357841724","0.41277630924627995"
"5","0.38719550099012234","0.37919941624808934","0.3934483387404186","0.3550901167486871","0.34789851501862734","0.366874592653313","0.36417344900011617","0.35664447162833207","0.37525431960879047","0.3747876861444915","0.3668613239226664","0.3840403331839208","0.40030154175014354","0.3933325521758693","0.40543264513566063"
"6","0.37679043834224135","0.36813923681262894","0.38313013404145657","0.3463568403232391","0.3364846337696272","0.3562716679456851","0.35464552842178476","0.34583735195319576","0.36439801777826375","0.364517992266422","0.3561723658209094","0.37331730644831923","0.39215399824424735","0.384268360763045","0.3978465140255145"
"7","0.3682825464313809","0.35967663959921775","0.3744350021917535","0.3415945106969306","0.3299011396805084","0.3499501484502343","0.34902622463432814","0.3384855485599385","0.35731921082803","0.3575350370776472","0.3489687178297946","0.36515096219666476","0.3837992392776088","0.3750821144133787","0.38883800316846895"
"8","0.3620851695153014","0.3540721692664515","0.3680967885396203","0.338914320858876","0.3265721935547758","0.34718212656594216","0.34589504811367966","0.3345428009566369","0.35418885863107896","0.3533495023158225","0.34387543535591936","0.3611229214480211","0.37522697105178143","0.3657597497055303","0.37901131973632723"
"9","0.358259427340067","0.35137786673571014","0.36393034849718997","0.33747040768045394","0.32485440470023336","0.34540631613916906","0.34424193613983106","0.3323971527191779","0.35220830368478584","0.3511682214176831","0.34107718083648175","0.3585786333067511","0.3674692914861851","0.35787020382907697","0.3721029886321012"
"10","0.3562544587675448","0.34852834743085487","0.36133172762974075","0.33697790524501486","0.3241408258917525","0.34493257667402816","0.34355045353445557","0.33136923525449563","0.35126675900499316","0.3501583209908599","0.3396028959328568","0.35699527706668505","0.3617789106279432","0.35300811829656076","0.3667940528246611"
"11","0.3553471484133836","0.34675347960968084","0.3605399067924973","0.3374654671514801","0.324478933598898","0.34566425971346953","0.3437561402968597","0.33139322768112806","0.351470230045106","0.349934427423905","0.33905921321762744","0.3565024816755793","0.35852255803407856","0.35117155782681747","0.3637370425175775"
"12","0.3552392258409561","0.346170566443397","0.3603418242904743","0.3389969692682014","0.32588626699576817","0.34749780358870774","0.34497632596163663","0.33256108540464596","0.35286857700264207","0.3505794335756426","0.3395912734549233","0.35719492796597496","0.35716187086833756","0.3506845253688624","0.3627155061696316"
"13","0.3560689296207581","0.3468937661521684","0.36157251095075255","0.3415002159986268","0.3282481156669151","0.3503318199590055","0.3472365940695789","0.33479104232239615","0.355408725536666","0.352295191806019","0.34135102214802426","0.35919321945599547","0.35697469590131214","0.3491643700837118","0.36322755106879456"
"14","0.3580775309180986","0.3489268709360603","0.3644023883621018","0.3448346970823455","0.3313279579446595","0.3541146198913517","0.35044587074473366","0.33783300202820893","0.35912766990454437","0.35515516244835466","0.3441874139817217","0.36258411820222797","0.3576890002402453","0.3495331192108172","0.36491679753344086"
"15","0.3613092843608146","0.35206077551949055","0.36823222064373967","0.3488562506429107","0.33484878285624076","0.35877727596070624","0.3544586821124671","0.3414267161536255","0.36386522599619625","0.359023065827139","0.3477967964901237","0.36712595512459","0.35943341820230545","0.35137665364906173","0.36765296763621386"
"16","0.3656055661049488","0.3560241687486043","0.3728783873448219","0.3534951114588155","0.3387390445715856","0.3641099653009534","0.35916339317555906","0.3454869047595498","0.3692818479383703","0.36368362219541694","0.35194073728063724","0.37245893959410575","0.36237574364670266","0.35439345914678566","0.3713187953687298"
"17","0.3707253105282515","0.3606206951836195","0.37814761160050847","0.35873399538099887","0.3431207924984146","0.36992196157089785","0.3644863484546327","0.3500782307225671","0.3751426194813703","0.3689675267771627","0.35655507343741355","0.37831295934621473","0.36651104718971245","0.35745860312409883","0.37582873011034046"
"18","0.3764652209039804","0.3657486737168996","0.38391523008877904","0.3645091004068905","0.3481457445273903","0.37609961943517695","0.37036540447088956","0.3553181320584133","0.38137902996964235","0.37480935287193773","0.36175821138169695","0.38457515356085015","0.37165453023815476","0.3618615241555447","0.38108557604943694"
