steps,attn-pre-qk__attn_out_eff_rank,attn-pre-qk__attn_score_entropy,attn-pre__attn_out_eff_rank,attn-pre__attn_score_entropy,attn-pre-v__attn_out_eff_rank,attn-pre-v__attn_score_entropy,mlp-pre__attn_out_eff_rank,mlp-pre__attn_score_entropy,pre-v__attn_out_eff_rank,pre-v__attn_score_entropy,off__attn_out_eff_rank,off__attn_score_entropy
1,23.68433723449707,1.0776504755020142,25.817647552490236,1.0799467325210572,23.079888916015626,1.0986104965209962,19.898532485961915,1.0986108303070068,21.145727157592773,1.0986107349395753,20.395013427734376,1.098610520362854
200,36.134883880615234,0.5887568354606628,35.56028442382812,0.8022570490837098,30.272829437255858,0.9607312560081482,17.825166702270508,1.0852664470672608,38.88402328491211,1.020720934867859,25.774219131469728,0.5528824210166932
400,32.53718032836914,0.5758414626121521,35.204733276367186,0.8190881252288819,30.262765884399414,0.9606348633766174,17.638454055786134,1.0852191925048829,23.893107223510743,1.0100873351097106,25.860367202758788,0.6768334627151489
600,30.465777587890624,0.5816884994506836,34.90881881713867,0.8305970549583435,30.21313018798828,0.9605264544487,16.680135917663574,1.0911969423294068,19.685690689086915,1.0194366455078125,25.903801345825194,0.713889479637146
800,29.31176300048828,0.5920017719268799,34.85953598022461,0.8468639492988587,29.728154373168945,0.9609464526176452,13.837458229064941,1.0968979120254516,18.85024185180664,1.0326722383499145,25.977097702026366,0.740112555027008
1000,28.646723556518555,0.6032807469367981,34.29860153198242,0.8592751502990723,28.14518623352051,0.961989426612854,12.237059402465821,1.0978914022445678,17.980419540405272,1.0613389492034913,26.07219009399414,0.7678829669952393
1200,28.27434425354004,0.6138873815536499,34.07408981323242,0.8496922492980957,24.857842254638673,0.9632889270782471,16.096870803833006,1.0982414484024048,14.31358814239502,1.0816790103912353,26.166706085205078,0.7987147092819213
1400,28.095758056640626,0.616637122631073,33.96106491088867,0.8516237258911132,21.442328262329102,0.9641234159469605,12.890534973144531,1.0985295295715332,17.965257263183595,1.0815075397491456,26.207340240478516,0.8199757218360901
1600,27.799191284179688,0.6196692109107971,33.65050277709961,0.8304000854492187,19.055792617797852,0.9651765108108521,13.87114601135254,1.0985458850860597,15.104176902770996,1.0937711715698242,26.237428283691408,0.8344612956047058
1800,27.76670608520508,0.6207356929779053,33.504034423828124,0.824061119556427,17.98206443786621,0.9670670509338379,20.05044059753418,1.0985767841339111,16.072087287902832,1.0947057008743286,26.268032836914063,0.850038206577301
2000,27.70119857788086,0.6212563633918762,33.274479675292966,0.8355403065681457,17.83966064453125,0.9691680431365967,19.852886962890626,1.09860417842865,18.599752044677736,1.0970830202102662,26.282401657104494,0.8637043237686157
2200,27.75877799987793,0.6225612759590149,32.979374694824216,0.8290798425674438,17.87184715270996,0.9707231879234314,18.490011978149415,1.0986085176467895,17.214811706542967,1.098163652420044,26.311944580078126,0.874569547176361
2400,27.785849380493165,0.6231929898262024,32.74887809753418,0.8376776576042175,17.894462203979494,0.9718313455581665,18.64663619995117,1.0986111879348754,18.593557357788086,1.0983871698379517,26.351655960083008,0.883089804649353
2600,27.829713439941408,0.6241296648979187,32.34809875488281,0.8289667725563049,17.875198745727538,0.972700297832489,19.203709411621094,1.0986119985580445,18.699230194091797,1.0985628366470337,26.361312484741212,0.8898892045021057
2800,27.71604347229004,0.6248458862304688,32.06277732849121,0.8505290150642395,17.826396942138672,0.9734012007713317,19.318303298950195,1.0986122608184814,19.530859375,1.098595929145813,26.398064422607423,0.8955015778541565
3000,27.60577392578125,0.6247878789901733,31.608464431762695,0.855909276008606,17.862422943115234,0.9734675526618958,18.94019012451172,1.0986004114151,21.614621353149413,1.098607349395752,26.429607391357422,0.9003320574760437
