"Step","model.ln_type: pre-v - test/loss","model.ln_type: pre-v - test/loss__MIN","model.ln_type: pre-v - test/loss__MAX","model.ln_type: mlp-pre - test/loss","model.ln_type: mlp-pre - test/loss__MIN","model.ln_type: mlp-pre - test/loss__MAX","model.ln_type: attn-pre-v - test/loss","model.ln_type: attn-pre-v - test/loss__MIN","model.ln_type: attn-pre-v - test/loss__MAX","model.ln_type: attn-pre-qk - test/loss","model.ln_type: attn-pre-qk - test/loss__MIN","model.ln_type: attn-pre-qk - test/loss__MAX","model.ln_type: attn-pre - test/loss","model.ln_type: attn-pre - test/loss__MIN","model.ln_type: attn-pre - test/loss__MAX","model.ln_type: off - test/loss","model.ln_type: off - test/loss__MIN","model.ln_type: off - test/loss__MAX"
"13","5.069490717419406","5.0341443655148","5.08823302464603","4.823516509665476","4.810712744704948","4.8367289196560606","4.961475909293566","4.942012298429109","4.975292921329056","4.777945453977548","4.774758061699049","4.780266424034207","5.094208330914485","5.076644971296957","5.123463914944531","4.7661100252151645","4.764056705421728","4.768089641191014"
"14","5.096015015759153","5.059208064245816","5.114825880996173","4.83575276123924","4.81883534207356","4.852292784940537","4.988885668853776","4.965601198938348","5.00626974168658","4.781811093214754","4.778214948189151","4.78450887308582","5.1367871680151245","5.11876642748956","5.168931074316278","4.768068080842694","4.765851001433259","4.7697415817792415"
"15","5.122304051439327","5.083326603415422","5.141748790236212","4.85069698722874","4.828362754860182","4.871000707476817","5.019417873182684","4.991990240286272","5.041117499136054","4.786238538392793","4.782023322453906","4.789279937370236","5.180127034071376","5.162081623072446","5.2152139186290745","4.77036063156787","4.7679150089666305","4.771693991859102"
"16","5.148732749520915","5.107081394776862","5.169501895104145","4.868970290591653","4.839881036760012","4.893722547665901","5.0532812465696235","5.0213338040926425","5.079978818712945","4.791400099935803","4.786273481880972","4.794805534135161","5.224036376594117","5.204241551638745","5.261670112479343","4.7730285612030245","4.7702198625839936","4.774651899005589"
"17","5.17545428321467","5.131025059164822","5.198101823690037","4.89113598658605","4.853782739759883","4.9211787630358295","5.090629445011785","5.053672876376307","5.122761555414992","4.79750001334408","4.79110273670077","4.801343968427329","5.268281103209564","5.24613936664322","5.307857280254693","4.776122928076934","4.772742884922891","4.778253178569163"
"18","5.202394792814381","5.15534839955917","5.227153979393836","4.9174774643470975","4.870337459794946","4.953617580448649","5.131459918638507","5.089103402924762","5.168897262124579","4.804771607557187","4.796691154696191","4.809180077456356","5.31271632221046","5.288027450938116","5.353622253840641","4.7797289728580274","4.77549990180886","4.7825092147029755"
"19","5.229327974448934","5.179959268261562","5.256150602626005","4.948124676862105","4.889925506043235","4.990999049963868","5.1755865889224815","5.127679387235041","5.217695391287983","4.813474950299698","4.8032564749880295","4.818624965242301","5.357350210940796","5.329828424608769","5.398985609300611","4.7839917706604815","4.77858052869457","4.787708885358299"
"20","5.256047155984999","5.204674831920151","5.284731000839913","4.983232684503593","4.9130682763802955","5.0331071654456","5.222708279632196","5.169124771121014","5.269024221319986","4.823895908093511","4.811051817875213","4.830051243005923","5.4023166600309676","5.371769363399019","5.444064888117046","4.7891294630490675","4.782154859670953","4.794211445426485"
"21","5.282518585357602","5.229339955656897","5.3126575505866125","5.022749691474471","4.940212607924246","5.0791947816124985","5.272363797335456","5.212916438486548","5.32284751587567","4.836348956608126","4.820372053333256","4.844343695362869","5.4478081715748345","5.4143254562920715","5.489109977023643","4.795430920603083","4.786447753221518","4.8024307167612506"
"22","5.30881252740005","5.253936722948515","5.339681972254427","5.0662711575268276","4.97156492919336","5.128074868819759","5.323988454389865","5.258641698199326","5.378559358567351","4.8511750531489115","4.831564086677757","4.8611960488863994","5.494024681545703","5.458009128170969","5.534542113450722","4.803246055976705","4.791708284350259","4.812814065377411"
"23","5.334970705648108","5.2785682124449576","5.365589671629719","5.113162799226596","5.007022219339146","5.17853896355534","5.376959723770755","5.306037704728609","5.434705176898159","4.868709335194747","4.845012442768228","4.880892734487347","5.541155480046974","5.503168495013159","5.580891037896078","4.812976523860016","4.798203387440318","4.825812687563182"
"24","5.36105701824325","5.303269292220267","5.390523882885687","5.162438120454428","5.046113519928636","5.229469817489804","5.430637892976213","5.354892291988058","5.489732164895798","4.889219817943003","4.861098360252974","4.903615038353268","5.589370084161591","5.5499332306723765","5.628630215964511","4.825056251107829","4.806235759771193","4.841828173199025"
"25","5.387182651091988","5.327856838714943","5.415293533095313","5.212712650094646","5.08811392703951","5.28626909099938","5.4846863253162965","5.405084418867316","5.543665526312984","4.912804542113019","4.880157841513056","4.929228705415065","5.638786169139099","5.5982791824684535","5.678026759667224","4.8398939962944665","4.816155299179313","4.861055073063664"
"26","5.413346745862741","5.351987390036002","5.440937668796003","5.262532008790812","5.132207855915955","5.339269985231713","5.539018158418445","5.456544406893419","5.597462351792317","4.939330034033583","4.9024307895111034","4.9574904655815075","5.68943262127796","5.648084819597271","5.729085935378775","4.857782648579554","4.828348493909326","4.883246821214669"
"27","5.439403783891512","5.375467022636646","5.467818822731683","5.310535552243488","5.177563413274109","5.386149412284803","5.593552278452695","5.509127446742308","5.651705311764811","4.96847930713368","4.927977598781615","4.989634411416069","5.741253278912008","5.69916087727272","5.781593380276953","4.878836468678857","4.843234815370505","4.907714448911628"
"28","5.465198039841208","5.398547461763436","5.495337003895521","5.355467219262909","5.223417878803895","5.425446758967144","5.648105388317099","5.562546162774871","5.706082730476467","4.99982345394782","4.956663086984027","5.0240559138711935","5.7941637920157625","5.751313913757208","5.835219569538565","4.903006223232628","4.86128834758545","4.933681701567816"
"29","5.490658119045118","5.421851107092196","5.522466101622823","5.3957202658056564","5.2691279505052595","5.461505950490406","5.702482311931692","5.6164495867426725","5.760037504446674","5.0328600042889615","4.988173295674491","5.059970651605206","5.848138778210794","5.804469019895555","5.8897009916686285","4.9301520269041195","4.883017469313335","4.960704829898285"
"30","5.5158431218828925","5.4459475348855975","5.548604626555801","5.429321652060197","5.314096689234639","5.494973938712476","5.756660253985717","5.6706510083428165","5.813481632411193","5.067049196458683","5.0220440045347425","5.09653475046343","5.903274187976045","5.8587852224536","5.945043607929239","4.960016570732371","4.908874070494342","4.98904833464123"
"31","5.540847528438528","5.4709141933735275","5.573791709605245","5.454606677164174","5.35702890483923","5.520615761357176","5.810809042669926","5.725198302773929","5.866763985642","5.1019802152628255","5.057625955516526","5.133111846863625","5.9597110869483085","5.914532462028535","6.001432529207374","4.992125145776079","4.939103445550507","5.023321032046124"
"32","5.565637001261246","5.496239698079999","5.598321385895812","5.4715800902438","5.396023817621754","5.538193627454212","5.865224401883002","5.7801443069533835","5.920455000520034","5.137208422092421","5.094077256529016","5.169051729520405","6.017453358684653","5.971750978637248","6.05883298258523","5.02575114154479","4.97347600853845","5.057263168589282"
"33","5.590026068615209","5.521226788100388","5.622439668532298","5.483091186584667","5.429661836816596","5.549428183838039","5.920185046913592","5.835516376880714","5.974921682158217","5.172484583084072","5.130555093296762","5.203843381403942","6.0763316089965045","6.030145509405047","6.116879502466734","5.060026340281445","5.011034129754211","5.089783565668923"
"34","5.613940381771703","5.545679257417391","5.64639369607922","5.494056022490701","5.450683843768539","5.558301841023427","5.975978997191929","5.891535500418909","6.030524815572885","5.207555704382719","5.166660082653696","5.237308149150716","6.1361945653991095","6.089461749263227","6.175299187836226","5.094128811266678","5.05021549561748","5.120391562811377"
"35","5.637616568674164","5.569934178797005","5.670393026162086","5.50822913110998","5.46111034827261","5.569350006096564","6.032922405498306","5.948568967963557","6.087681478491344","5.2423745512022535","5.202516981603843","5.269183064342095","6.197111838447829","6.149969333047161","6.234245299854612","5.127360310837558","5.08937850284018","5.152888551350433"
"36","5.661239136521835","5.594317600362707","5.694246496375076","5.525521721276495","5.480819263346711","5.584648810812368","6.091295070366795","6.006970033463276","6.146775946295741","5.276606198743093","5.238049983597023","5.299844487893375","6.25930820796227","6.212173366386954","6.29410052344676","5.159117179941665","5.127065053562522","5.18388443085132"
"37","5.684673521339401","5.618809560557516","5.717592617009824","5.543470603554575","5.489471143298184","5.602828222798451","6.1513036661149005","6.067028851085958","6.208029695274129","5.310720603596039","5.272797855087775","5.329101584623776","6.3228463478419545","6.276002343880568","6.355105249712699","5.188828356608001","5.161905645446249","5.212861694462771"
"38","5.70765607402357","5.643061617678513","5.740276734454538","5.560652122287197","5.4876558759243","5.621518307041862","6.213022904698667","6.1288866953862255","6.271380057145463","5.344051243410551","5.306923806561122","5.359805944590491","6.387415676428221","6.340783995095868","6.417303845495679","5.216075435629619","5.192909495667137","5.2395551743163296"
"39","5.730019939827107","5.666783962791995","5.76215412823322","5.57744934037434","5.489656775012145","5.639492011481072","6.276375295736679","6.192460780618547","6.336652334699275","5.377526891183576","5.340703770359213","5.3942208257394855","6.452702770290031","6.4061956378096","6.4807141887275","5.240765819829187","5.219989045175978","5.263964292823178"
"40","5.751931374649999","5.690098446714551","5.783310104121614","5.594547833996896","5.500882150637192","5.656553095609933","6.341173945510493","6.257470771486586","6.403753333105872","5.410984089677235","5.373539729950067","5.432226764158225","6.518871117455267","6.472445301355421","6.547075754324594","5.263198615520457","5.243967585715091","5.286476866452616"
"41","5.77367653088111","5.713329730757603","5.804327412622381","5.612586836710257","5.521308638620057","5.673105558396797","6.407172363251442","6.323511787007669","6.472676481559783","5.444059144637576","5.4049760039362615","5.469866532668868","6.586513360324287","6.540016285242549","6.6181157237541095","5.283880832950375","5.265798642225045","5.307731840874111"
"42","5.7952605505970975","5.736564517027444","5.825619501671175","5.632596378787066","5.5474961422387805","5.6907874750821765","6.474095539718334","6.390145327987482","6.543398182148068","5.477478511925166","5.436548922248252","5.50852284621","6.6558849653883785","6.609407823444494","6.690771214785032","5.303373575010601","5.286117326797671","5.32828140007248"
"43","5.816395171056915","5.759526451300595","5.84667105566652","5.655199585353619","5.575548544043397","5.71162104175798","6.541647251009128","6.456981928692096","6.615698666727146","5.510667274474572","5.4664739271191705","5.54671503202774","6.726903713115806","6.680238663321138","6.763399024783218","5.3222697863064825","5.3053985659200205","5.348522470900377"
"44","5.836978582407704","5.781781349635542","5.866989127323242","5.679538987616432","5.602646180690374","5.7356840929818524","6.609529367775805","6.523723693700016","6.689123676910654","5.5437432039887735","5.49480623105403","5.586805394394645","6.800079814479481","6.753796107300064","6.838901331140173","5.341200270520932","5.324286455352512","5.368834358221625"
"45","5.857293388355681","5.803227572276517","5.886900072195343","5.7038097994366","5.627222959403658","5.760890509218305","6.677479948004121","6.590181105395005","6.763141597197678","5.577111554650746","5.525565296353054","5.624566616313892","6.875773858623721","6.831117754697544","6.917249581021226","5.360740592618237","5.340955862059015","5.389541075815662"
"46","5.87736271010563","5.824291658237809","5.906609584905738","5.726966012977823","5.648752507867084","5.785296491908865","6.745280461507475","6.6562288089167865","6.83719756727392","5.610994475946771","5.555485224638436","5.664544486808536","6.953734541620172","6.9108221946296995","6.997129957866284","5.381307108376037","5.35690872451126","5.410842671708624"
"47","5.896949139803475","5.8454311816690465","5.925903356194009","5.74961962964913","5.668266172335015","5.808923804482082","6.812736071132404","6.721721573916965","6.9106963152893055","5.644922397940514","5.585525826414673","5.704210507085745","7.033832818218755","6.989985906443887","7.07674335237927","5.403111785086625","5.3743266533938385","5.4328583191591235"
"48","5.916123336981114","5.86650653952032","5.944956321612279","5.77284606389728","5.6881226186223675","5.832247780888605","6.879690555880795","6.7865057209545245","6.983073256544051","5.67997739890623","5.61881433013058","5.74279408696916","7.11695048072679","7.070567304409903","7.165719190093646","5.426170044056998","5.39355990976636","5.455582478600134"
"49","5.935029139572211","5.887093297555137","5.963752798880095","5.79657831292623","5.709696208968454","5.854633439254018","6.946104150179172","6.850571376297955","7.053994445623993","5.715064505585728","5.65226143671462","5.780965433639947","7.203152263398804","7.149996021611583","7.24825778041418","5.450384495504844","5.4148087500959035","5.478763973489638"
"50","5.953551294613827","5.907264275168719","5.981934873012049","5.820158048115683","5.73240627957669","5.876668093105709","7.012107360005375","6.914158485657676","7.123498379091387","5.751598748373504","5.687511800737069","5.82111251375879","7.292459990661174","7.2372479847419635","7.339807060832868","5.475694124852431","5.438227782272283","5.50212871123482"
"51","5.971733826460858","5.927234006082333","5.999834429406761","5.843379524205838","5.755582882836879","5.900005386779826","7.077981709112794","6.977664106579548","7.191900922279674","5.788379016415727","5.724483446166731","5.859735272767818","7.385194196310371","7.325530231345228","7.436354442543697","5.502114294091951","5.463858690799376","5.52575081857522"
"52","5.989672816885136","5.946828520876442","6.017578155748204","5.866210532061346","5.779430505831321","5.923599864669051","7.144100610145929","7.04142282969761","7.259682396682179","5.827068909054782","5.763874799656115","5.901139069354951","7.48333197193214","7.4186792236685015","7.532447665785655","5.529561905828204","5.49147045090685","5.5537383109116805"
"53","6.007439031607476","5.966146379668556","6.034803479918649","5.888568031948625","5.803525900985921","5.946427759797216","7.210864295354663","7.105653608170591","7.327410465021555","5.86530298684079","5.803652578976401","5.941894997385173","7.583298411013416","7.516523350229502","7.635023086682372","5.557775314772297","5.520553852697294","5.582106480887079"
"54","6.025148683778428","5.985495505320487","6.052066587622733","5.910798763446865","5.826822105756022","5.9698444942989655","7.2787356421541265","7.170696652054861","7.395794216244274","5.906263925252948","5.845386346407403","5.988064806777829","7.691478198390226","7.620206559065736","7.745463689041523","5.586487968942597","5.550489908990239","5.6152120707191155"
"55","6.042541927067068","6.0047887013647845","6.069313051432967","5.933471243885671","5.849567732522634","5.992179902274947","7.348279930849887","7.237196725276708","7.465666560060328","5.9458665222785525","5.886431422199551","6.029281389379652","7.801877943583132","7.725324022172368","7.857639663800906","5.615536421573372","5.5807723586917515","5.648832485475163"
"56","6.059662587326688","6.023814231199364","6.086085606319301","5.956791314095462","5.873351511433038","6.013011577146549","7.420101558336389","7.305997589166521","7.537828372673402","5.9877200259784","5.929398323582069","6.0774842932028825","7.917037070597187","7.8427547195492355","7.976142289228323","5.64477541878001","5.611060756634026","5.682736332844799"
"57","6.076807546530079","6.04246243948976","6.103197014878526","5.97981116375721","5.898658153012039","6.033413195904153","7.494727836785191","7.377782724059497","7.612903897239167","6.02870635618915","5.970641949313908","6.122242474943969","8.04010980140214","7.956769213408157","8.110242890774835","5.674040397423182","5.641142445899742","5.716373060724087"
"58","6.0936248795336185","6.060867859213603","6.120006123298323","6.002072320789479","5.923698187379957","6.053529830911782","7.572506653946863","7.452767248351158","7.691251036531808","6.070454043797603","6.011896708680863","6.168193229183862","8.167916989586853","8.08523553593671","8.24163776804064","5.7031920446513675","5.670933391758585","5.749060048508395"
"59","6.110393367024458","6.07952164601355","6.137777353879871","6.02311898531581","5.9469897028166","6.075675132848453","7.653598079326052","7.531063447470832","7.7730261958909335","6.113540505883424","6.05558065910221","6.215744626310155","8.298449070348292","8.210420224613856","8.376973589503374","5.732200953397624","5.700421222294325","5.780581762182952"
"60","6.126808488946727","6.098178854571166","6.1543346717622684","6.043594944558324","5.9691831025896445","6.095206869796029","7.738022639604108","7.612981915067382","7.85830323662974","6.154481334656089","6.0953708118412875","6.261355363664797","8.44061327580789","8.349594431212651","8.528149717231525","5.761130288354846","5.729568311736398","5.811059251737994"
"61","6.143585642101867","6.115786095771189","6.172925278495135","6.065649322666599","5.991504143596461","6.120608027211558","7.825877639517823","7.698597074696433","7.947315296066816","6.1983404048840836","6.139449860097371","6.307307733216708","8.586346561060154","8.489012649802083","8.67967129345127","5.789951892273933","5.758267076999569","5.840459178443606"
"62","6.15928608232875","6.125421068224007","6.188002449564574","6.08639799107217","6.014235357966558","6.133116172084991","7.917402667871914","7.787497699804749","8.040546866860145","6.241614267874835","6.183194811240201","6.355500883604541","8.737630134102828","8.63597499743337","8.837140868655139","5.818575608905501","5.786339983623923","5.86881948129248"
"63","6.176108056035296","6.1368028809710635","6.207106304368697","6.1101345020405855","6.036832509915458","6.172526313717298","8.012877228172634","7.879555556788266","8.13841683347964","6.284431300965842","6.227176624307613","6.400841701596252","8.899796941040735","8.795226103054157","9.011094299096229","5.847051060346627","5.813716592503127","5.896536944579327"
"64","6.191484919449669","6.144599248217291","6.222331732204525","6.131603298596681","6.059075837616726","6.180071980420312","8.112550712384671","7.975248060132634","8.241013933754049","6.328412898554314","6.271845711435712","6.447487925024689","9.065966368499657","8.952174580274907","9.183465780107365","5.8754904115511515","5.840670369994544","5.923802842400304"
"65","6.20817402120771","6.157704088420464","6.238911895788928","6.146630720284557","6.082172930575834","6.204505249773636","8.216695597162154","8.075025265285161","8.348604812581891","6.371828302751316","6.317715529665398","6.495266419773405","9.238529675596869","9.122331224732978","9.360514614945496","5.9039349164728385","5.867737563175542","5.950509466545366"
"66","6.223714835833581","6.1620199371596405","6.258864394490173","6.182169618708707","6.104930965238033","6.237961461843042","8.325671653110279","8.179609067538602","8.461056394135143","6.414555798297324","6.359572435143336","6.538209438208068","9.42017216905415","9.30038297462917","9.553068178250207","5.932535780926198","5.895375646196841","5.9770126543336115"
"67","6.239759026335171","6.172658709046839","6.27365307241317","6.186193013199608","6.1085803548610045","6.246007695589435","8.439921313882015","8.289546844344256","8.579055155631934","6.458917398430816","6.409012372139514","6.583096826689817","9.608899314468959","9.480526240450146","9.745526400958944","5.961590592247384","5.923735942236474","6.003897472048185"
"68","6.255981440342641","6.180762200494589","6.292504049395185","6.214651736694424","6.146280742133284","6.272626246743758","8.5598089533689","8.404619140814859","8.703334664862835","6.499369667117149","6.4467773093074126","6.624344996891353","9.802986289242764","9.670960290521935","9.94445728523063","5.991097055032289","5.952636213562571","6.031338601506662"
"69","6.272092188332475","6.1851294580484275","6.312318835604593","6.24076557955077","6.164596470619565","6.302228572007631","8.685708076200154","8.525652527171541","8.834197720335984","6.544494461448769","6.495716716248041","6.666161197346024","10.00227663968967","9.8664272049532","10.154658912232943","6.021090687037829","5.981885270950533","6.059477736151441"
"70","6.287935674312256","6.194901386182376","6.32771185609767","6.250849177527966","6.166673042260437","6.313294364605641","8.818805551248428","8.653105754714991","8.972104555280428","6.581252291635344","6.520497930404239","6.701480740248656","10.209662880603105","10.06632366015216","10.364303667398696","6.051501539768092","6.011727071235435","6.088559958331032"
"71","6.3046144740856525","6.200114582797183","6.348102030257406","6.274486981489685","6.1971342010655395","6.337645079930694","8.958813066144723","8.787436447317857","9.117672215212973","6.62332493147246","6.562641415600559","6.745051612527445","10.418659390651722","10.271947488370339","10.57642450525107","6.082730641337874","6.042429724529646","6.118410358115523"
"72","6.320938269980924","6.204438307042084","6.368664460750949","6.300953241773277","6.214860722858125","6.361015523149723","9.10850323892908","8.929420974707904","9.271171071498062","6.664063904871115","6.5918496784460325","6.785953749955404","10.629542916946574","10.478624066130314","10.795001329388658","6.114254193094084","6.074110972113502","6.149256545632217"
"73","6.337373976880999","6.213023590343482","6.385714109437859","6.314484543512995","6.215817588931988","6.379506628952086","9.26464371251733","9.078928805237389","9.438113275200337","6.70215994668108","6.617017607375421","6.824780725778335","10.84536524427355","10.688411930080328","11.014216607505128","6.147538397854402","6.107069646893285","6.181447070699423"
"74","6.354988932864522","6.217097210921984","6.407006705801646","6.334804181355008","6.23989220956906","6.401130035198676","9.425965076265369","9.236586436245801","9.599681153680997","6.744031765872876","6.656111046874874","6.870451354566499","11.060449920341744","10.899923032708802","11.231373754368864","6.179792294315063","6.141052405359952","6.214693528243868"
"75","6.371418939317378","6.221420683662898","6.428430247297895","6.362317678703989","6.2632622993926645","6.4277257546155955","9.594149172033541","9.401818450384043","9.769875213293522","6.784827095883512","6.690994461130193","6.909334361859932","11.272435981663127","11.108175273310604","11.447913249395278","6.214151438180988","6.175257602437491","6.2492002061312055"
"76","6.389431874811737","6.228549496763348","6.447195080409944","6.372372756730899","6.253255251181359","6.44440002411799","9.769387756308399","9.577985620316849","9.95103157963113","6.825785679906831","6.720471462779056","6.957011625528285","11.48496707120237","11.314406327526044","11.66509757973158","6.246684436196531","6.209502346240859","6.28427717895112"
"77","6.406751731571292","6.231931214251409","6.469074993718032","6.398460621223178","6.28485336384073","6.465471448413349","9.9502499782352","9.760745009847415","10.131943008968635","6.865322659491758","6.757907497913974","6.998828051817967","11.69395032434448","11.518430092819795","11.87617869181599","6.281238335910802","6.245034028083852","6.320361673954327"
"78","6.424673449488708","6.235373444070991","6.491658234609622","6.415340779750217","6.28841552595807","6.480781804611879","10.141906148123116","9.963776309319961","10.320633089114455","6.9092698216488415","6.7985451141266955","7.036964222458506","11.89524015179741","11.715854772354252","12.078429836224762","6.315316268174223","6.2808715505858705","6.355665682981584"
"79","6.44297922467617","6.240775568449138","6.512338519007234","6.436291238674102","6.299351066928512","6.508169513120248","10.331448136507314","10.142501620941124","10.517244103245915","6.952726237361327","6.832720412160577","7.090455278228146","12.091471209421211","11.905362069061463","12.277443783696393","6.35011840601395","6.318860685426885","6.386656398806934"
"80","6.461036332403298","6.2442827271038075","6.536843385332409","6.4514744112907305","6.299038148007731","6.5227406176453275","10.530287685643703","10.341829548879018","10.710866138999355","6.9951824266188","6.871796784054316","7.131471056293777","12.28262352631712","12.0886991652073","12.471474700388129","6.38482889804839","6.3546640932786715","6.422147448544076"
"81","6.479962122312718","6.24755644729503","6.562435299181554","6.474312410187342","6.325090937661125","6.5512108393524295","10.731844038862846","10.54582866263839","10.911462626888607","7.0412867785932916","6.915745463159301","7.176213380711728","12.464715438442195","12.263793036641728","12.655202076908385","6.422712516946322","6.397269951294818","6.456843900361957"
"82","6.498837427695624","6.251777044391932","6.589482585660395","6.4913931559197495","6.31060249896948","6.569013713513603","10.935597490456125","10.738487689239104","11.11811539909686","7.087395294316049","6.954109627660117","7.229952446318434","12.636925518598945","12.428881439771123","12.829140369373073","6.457488000386618","6.429190508230596","6.490250314672859"
"83","6.517375215413023","6.2552627323775845","6.615124533257004","6.509118636131873","6.331629423953242","6.599910064162595","11.145018243454633","10.95482555818122","11.318976939615633","7.132130594534823","7.00106425140171","7.273975905361389","12.801129524010028","12.584374093613489","12.994972744741403","6.4954193794032875","6.47029159919477","6.527823046744645"
"84","6.536567398028495","6.257784482788881","6.641887033124575","6.529535966898351","6.336107739547783","6.608921735422785","11.349737301983676","11.155868595488124","11.521166385088383","7.179179642130288","7.04364810025335","7.323647178086425","12.957696105257686","12.731738439432048","13.151849772389763","6.534386832847045","6.508037423227266","6.567659941073905"
"85","6.555716059451261","6.260420580520875","6.669217215544568","6.546100273426276","6.327695167608441","6.638343174268133","11.556989007688877","11.363463044531148","11.723091176651039","7.229456357408028","7.088427378599315","7.377098887213774","13.105007599201215","12.871189773532214","13.299616931525758","6.572815347494168","6.543667173862656","6.612638529686862"
"86","6.574138545486934","6.262689541964873","6.695398203511782","6.568410507923853","6.345321534486944","6.655273397393013","11.762085256366568","11.56612029645369","11.926410336548539","7.274795698791806","7.138292625105911","7.423145622682158","13.24199813689629","13.00124229382292","13.438262792827217","6.613491189506037","6.585105979747318","6.65603516617178"
"87","6.5926076027552325","6.2641968455995505","6.721778413435696","6.583070505907337","6.332222461754831","6.675711494666513","11.964633203959854","11.778362915759283","12.119093658806202","7.324443195612403","7.1794415406563745","7.474359198534021","13.370351420638375","13.122016018718982","13.567299034025663","6.655072128712439","6.622910912309638","6.702379836974008"
"88","6.6109399294506375","6.2648866817065425","6.748151660649004","6.605391856241511","6.350023041786634","6.702406249875158","12.158782961956213","11.973215044467018","12.30696582610769","7.375318175646102","7.235902946299917","7.523240539067568","13.489406431001907","13.233499651469062","13.68640275564557","6.697370256447127","6.663476474905623","6.751796547058496"
