"Step","Grouped runs - train/accuracy","Grouped runs - train/accuracy__MIN","Grouped runs - train/accuracy__MAX","Grouped runs - train/spec_accuracy","Grouped runs - train/spec_accuracy__MIN","Grouped runs - train/spec_accuracy__MAX"
"1","0.008144087344408035","0.0075698248110711575","0.008874966762959957","0.010336726531386375","0.008874966762959957","0.012529365718364716"
"2","0.010388932004570962","0.008613938465714455","0.012790394015610218","0.012947010807693005","0.010963195003569126","0.015661707147955894"
"3","0.012424954026937485","0.009919080883264542","0.015661707147955894","0.013260244950652122","0.011485251598060131","0.0161837637424469"
"4","0.013051422126591206","0.012007308192551136","0.014878621324896812","0.013886713236570359","0.012007308192551136","0.015661707147955894"
"5","0.013834507577121258","0.011746279895305634","0.015139649622142315","0.01409553587436676","0.012007308192551136","0.016444791108369827"
"6","0.013886713236570359","0.01305142231285572","0.014878621324896812","0.014147741347551345","0.01305142231285572","0.015922734513878822"
"7","0.013677890412509441","0.012529365718364716","0.015139649622142315","0.014722004160284996","0.01305142231285572","0.015922734513878822"
"8","0.014617592841386796","0.01305142231285572","0.016444791108369827","0.014983032643795014","0.01305142231285572","0.015922734513878822"
"9","0.0150874437764287","0.01305142231285572","0.016444791108369827","0.016027146391570567","0.013573478907346725","0.01931610517203808"
"10","0.01566170658916235","0.013312450610101223","0.01722787693142891","0.017541111260652543","0.014356564730405807","0.020882274955511093"
"11","0.01675802581012249","0.014356564730405807","0.018533019348978996","0.01738449390977621","0.015139649622142315","0.01905507594347"
"12","0.01748890560120344","0.01461759302765131","0.02009919099509716","0.018585225194692613","0.015661707147955894","0.02114330418407917"
"13","0.019002870097756384","0.015922734513878822","0.021665360778570175","0.01999477818608284","0.0161837637424469","0.02323153056204319"
"14","0.019681544974446297","0.0161837637424469","0.023753589019179344","0.021299920976161957","0.01827199012041092","0.02531975880265236"
"15","0.02046462967991829","0.01722787693142891","0.025841815397143364","0.021560949459671973","0.017488906159996986","0.025841815397143364"
"16","0.020986687019467355","0.016705820336937904","0.02636387199163437","0.022500651702284814","0.015922734513878822","0.027930043637752533"
"17","0.022396240383386612","0.016705820336937904","0.028452100232243538","0.023127120360732077","0.017488906159996986","0.028452100232243538"
"18","0.022605063021183015","0.01696684956550598","0.027669014409184456","0.023492560535669327","0.017488906159996986","0.028713129460811615"
"19","0.023910205438733102","0.017488906159996986","0.03027929924428463","0.0240146167576313","0.018794048577547073","0.02819107100367546"
"20","0.023857999965548514","0.01801096275448799","0.02923518605530262","0.02552858181297779","0.020882274955511093","0.028713129460811615"
"21","0.025737404450774194","0.01931610517203808","0.029496213421225548","0.02646828405559063","0.022448446601629257","0.030801355838775635"
"22","0.026677107065916063","0.02114330418407917","0.030540328472852707","0.028974156826734543","0.025580788031220436","0.032889582216739655"
"23","0.02714695818722248","0.021665360778570175","0.031062385067343712","0.029391802847385406","0.025841815397143364","0.03393369913101196"
