"Step","model.ln_type: attn-pre-v - train/loss","model.ln_type: attn-pre-v - train/loss__MIN","model.ln_type: attn-pre-v - train/loss__MAX","model.ln_type: attn-pre-v - train/spec_loss","model.ln_type: attn-pre-v - train/spec_loss__MIN","model.ln_type: attn-pre-v - train/spec_loss__MAX"
"161","0.009268461167812348","0.00883451011031866","0.009985297918319702","4.4817352705280005","4.4750276139958425","4.491794059144704"
"162","0.009242490120232105","0.008811380714178085","0.009954187087714672","4.481872752187641","4.47516007651997","4.491908347751722"
"163","0.009213376976549625","0.00878507737070322","0.009919866919517517","4.482003411477373","4.475284994337763","4.492016982034919"
"164","0.009181161969900131","0.008755652233958244","0.00988246314227581","4.482126601002716","4.475400712317465","4.492118995292681"
"165","0.009145933017134667","0.008723227307200432","0.009842166677117348","4.482242066384513","4.4755070514266455","4.492213682238432"
"166","0.009107760898768903","0.008687865920364857","0.009798991493880749","4.482350109329177","4.475605301855402","4.492300978286189"
"167","0.009066685847938061","0.008649591356515884","0.009752871468663216","4.482451450260387","4.47569737859794","4.492381463346073"
"168","0.009022771753370762","0.008608479052782059","0.009703886695206165","4.4825468526207874","4.475784742311433","4.492456029199758"
"169","0.008976133726537227","0.008564661256968975","0.009652238339185715","4.482636782218942","4.475867743547102","4.492525444417202"
"170","0.008926884457468986","0.008518240414559841","0.00959803257137537","4.482721226783231","4.475945637006032","4.4925899998874375"
"171","0.00887510199099779","0.008469285443425179","0.00954127311706543","4.482799859312531","4.476017263925974","4.492649566321274"
"172","0.008820872195065022","0.008417896926403046","0.009482028894126415","4.482872346301326","4.476081895023621","4.49270375501308"
"173","0.008764317259192467","0.008364207111299038","0.009420474991202354","4.482938637121616","4.476139657680318","4.492752291045577"
"174","0.008705570548772811","0.008308332413434982","0.009356753900647163","4.4829990728007445","4.476191429793392","4.492795181458679"
"175","0.008644737303256989","0.008250379003584385","0.009290935471653938","4.483054232039729","4.4762382978848985","4.492832738827672"
"176","0.008581919595599174","0.0081904586404562","0.00922310259193182","4.48310465746768","4.476280931550413","4.492865487079924"
"177","0.008517244458198547","0.008128704503178596","0.009153398685157299","4.483150637990672","4.476319349490367","4.492893934963338"
"178","0.00845084898173809","0.008065239526331425","0.009081980213522911","4.483192167229417","4.476353114716418","4.492918441415094"
"179","0.00838284958153963","0.008000182919204235","0.009008951485157013","4.483229098437996","4.476381757056213","4.492939153819642"
"180","0.008313351683318615","0.007933642715215683","0.00893439631909132","4.48326137343178","4.476405247372864","4.492956047340136"
"181","0.008242478035390377","0.00786574650555849","0.008858438581228256","4.4832891575795655","4.476424057582987","4.492969024493489"
"182","0.008170361537486315","0.007796620484441519","0.008781232871115208","4.483312825582574","4.476438893497197","4.492978048665328"
"183","0.008097115159034728","0.007726370356976986","0.008702891878783703","4.483332811080752","4.476450348531202","4.4929832166282"
