"Step","Grouped runs - train/spec_loss","Grouped runs - train/spec_loss__MIN","Grouped runs - train/spec_loss__MAX","Grouped runs - train/loss","Grouped runs - train/loss__MIN","Grouped runs - train/loss__MAX"
"48","4.417192121536664","4.412249894146392","4.422794330087822","4.330000400543213","4.316274642944336","4.343561172485352"
"49","4.410121781235933","4.404927021642678","4.41544531083951","4.317308521270752","4.302670478820801","4.331180572509766"
"50","4.403065626219271","4.397533673740929","4.408502262431011","4.3046067237854","4.289003849029541","4.318726539611816"
"51","4.396023571233263","4.3900722734714925","4.401572966940784","4.291886520385742","4.275325775146484","4.3062615394592285"
"52","4.389000546824314","4.382543721447278","4.394589290577928","4.279150485992432","4.26168155670166","4.293840408325195"
"53","4.382010507777734","4.374970305452711","4.387572444113997","4.2663853645324705","4.248068809509277","4.281461238861084"
"54","4.375071810371944","4.367396874394285","4.3805464593700165","4.253559017181397","4.234451770782471","4.269071578979492"
"55","4.368200617004571","4.35987321550863","4.3735380447178445","4.240640926361084","4.220804691314697","4.256605625152588"
"56","4.361402963680851","4.352441294957423","4.366580560356181","4.227629375457764","4.207126140594482","4.244039058685303"
"57","4.354685922270692","4.345154738358844","4.35971403134464","4.214540004730225","4.19342565536499","4.231385231018066"
"58","4.348065385264898","4.338065216011871","4.352970351859233","4.201376152038574","4.179693698883057","4.2186479568481445"
"59","4.341532093135665","4.3311471019169625","4.346347880753437","4.188120937347412","4.165923595428467","4.205795764923096"
"60","4.335060255163068","4.324351951552379","4.339819717610043","4.17475643157959","4.152135372161865","4.19279146194458"
"61","4.32865073678376","4.317707333821407","4.333443918941195","4.161277008056641","4.138331890106201","4.179652690887451"
"62","4.322302919674184","4.311219402159611","4.327494250310413","4.147671222686768","4.124459743499756","4.166409492492676"
"63","4.316002403870175","4.304835715365497","4.321548501039888","4.13391752243042","4.11045503616333","4.1530327796936035"
"64","4.309745392244711","4.298551670575014","4.3156437496172435","4.1200024604797365","4.096317768096924","4.1394853591918945"
"65","4.3035063427668305","4.292352043005097","4.30976840721037","4.105914497375489","4.082064151763916","4.1257805824279785"
"66","4.297232834698009","4.286154669050354","4.303875232358002","4.091626167297363","4.067660808563232","4.111904621124268"
"67","4.290912049570553","4.279914212788193","4.297979248870839","4.077105236053467","4.053072929382324","4.0977935791015625"
"68","4.284534001062477","4.273592960291892","4.292026589880901","4.062317371368408","4.038264274597168","4.083410263061523"
"69","4.278058043520088","4.267170336044269","4.285934527437608","4.047217273712159","4.02315092086792","4.068744659423828"
"70","4.271465681147022","4.2606088429061675","4.279720869552942","4.0317559242248535","4.007661819458008","4.053767204284668"
"71","4.2647324176853365","4.253882679150794","4.273332208980619","4.015882396697998","3.991757869720459","4.038440227508545"
"72","4.257880125892403","4.246966045072787","4.266900532868312","3.9995598793029785","3.975377082824707","4.0227556228637695"
"73","4.250822403921286","4.239816335825068","4.260132067023019","3.982776165008545","3.9584760665893555","4.006652355194092"
"74","4.243676829988706","4.232454002932336","4.253544893574325","3.9655785083770754","3.9410135746002197","3.9900686740875244"
"75","4.236197885852462","4.224869313264654","4.246146259808255","3.947867441177368","3.9229321479797363","3.972944736480713"
