"Step","model.ln_type: pre - train/spec_accuracy","model.ln_type: pre - train/spec_accuracy__MIN","model.ln_type: pre - train/spec_accuracy__MAX","model.ln_type: pre - train/accuracy","model.ln_type: pre - train/accuracy__MIN","model.ln_type: pre - train/accuracy__MAX","model.ln_type: attn-pre - train/spec_accuracy","model.ln_type: attn-pre - train/spec_accuracy__MIN","model.ln_type: attn-pre - train/spec_accuracy__MAX","model.ln_type: attn-pre - train/accuracy","model.ln_type: attn-pre - train/accuracy__MIN","model.ln_type: attn-pre - train/accuracy__MAX","model.ln_type: mlp-pre - train/spec_accuracy","model.ln_type: mlp-pre - train/spec_accuracy__MIN","model.ln_type: mlp-pre - train/spec_accuracy__MAX","model.ln_type: mlp-pre - train/accuracy","model.ln_type: mlp-pre - train/accuracy__MIN","model.ln_type: mlp-pre - train/accuracy__MAX"
"12","0.013208039291203021","0.008613938465714455","0.020882274955511093","0.0839467465877533","0.07465413212776184","0.09214304387569427","0.02114330418407917","0.017749933525919914","0.02505873143672943","0.050013049691915515","0.04333072155714035","0.056121114641427994","0.010493343230336905","0.0075698248110711575","0.013312450610101223","0.028034454211592674","0.02531975880265236","0.030801355838775635"
"13","0.013730096071958542","0.008613938465714455","0.02218741737306118","0.09355259388685226","0.08196292817592621","0.10597755014896393","0.020934481546282767","0.016705820336937904","0.02610284462571144","0.05387627109885216","0.045941006392240524","0.05977551266551018","0.011015400383621454","0.0075698248110711575","0.014878621324896812","0.029026363044977188","0.025580788031220436","0.03210650011897087"
"14","0.013834507204592228","0.008874966762959957","0.022970503196120262","0.10404593646526336","0.09188201278448105","0.1190289705991745","0.02140433229506016","0.017749933525919914","0.026624901220202446","0.05810493230819702","0.04750717803835869","0.06316888332366943","0.011850691493600607","0.007308796513825655","0.0161837637424469","0.030174889042973517","0.02505873143672943","0.03497781231999397"
"15","0.014095535688102245","0.008874966762959957","0.022709473967552185","0.1167319193482399","0.10649960488080978","0.13208039104938507","0.020986687019467355","0.017749933525919914","0.02505873143672943","0.06489167064428329","0.055077001452445984","0.07099973410367966","0.012894805241376161","0.007308796513825655","0.01722787693142891","0.032889583706855775","0.027669014409184456","0.03706603869795799"
"16","0.013834507390856742","0.008613938465714455","0.02218741737306118","0.12973113656044005","0.11772383004426956","0.1466979831457138","0.02208300642669201","0.018794048577547073","0.024797702208161354","0.07063429653644562","0.06029757112264633","0.07622030377388","0.014147741533815861","0.007830853573977947","0.018533019348978996","0.03722265586256981","0.03341164067387581","0.04019838199019432"
"17","0.013938918709754944","0.008613938465714455","0.022448446601629257","0.13996345102787017","0.12633776664733887","0.15348471701145172","0.022605063393712044","0.02114330418407917","0.02505873143672943","0.07679456919431686","0.06630122661590576","0.08640041202306747","0.014774209819734097","0.008352910168468952","0.01931610517203808","0.03842338770627975","0.03602192550897598","0.04124249517917633"
"18","0.013573478721082211","0.00913599506020546","0.020882274955511093","0.14889062345027923","0.13364656269550323","0.16157659888267517","0.02229182906448841","0.020621247589588165","0.024536672979593277","0.08405115753412247","0.07569824904203415","0.09318715333938599","0.01592273507267237","0.00965805258601904","0.020621247589588165","0.04223440140485764","0.040981464087963104","0.04437483474612236"
"19","0.013886713236570359","0.00965805258601904","0.02114330418407917","0.15917514264583588","0.1456538736820221","0.17123465240001678","0.022761679813265802","0.021404331550002098","0.024797702208161354","0.0923518642783165","0.08457321673631668","0.10232315212488174","0.017593316920101642","0.010963195003569126","0.021404331550002098","0.0447402760386467","0.04019838199019432","0.047768205404281616"
"20","0.014356564544141293","0.00965805258601904","0.022448446601629257","0.16919863522052764","0.15505088865756989","0.18010962009429932","0.022605063393712044","0.02114330418407917","0.02427564561367035","0.10216653347015381","0.0942312702536583","0.11511354148387909","0.019577133655548095","0.013573478907346725","0.022448446601629257","0.046724092215299606","0.04202558100223541","0.05037849023938179"
"21","0.014983032830059528","0.009919080883264542","0.02218741737306118","0.18151918053627014","0.16784128546714783","0.19185590744018555","0.02218741737306118","0.020360218361020088","0.024536672979593277","0.11098929196596145","0.10493343323469162","0.12111719697713852","0.021299920976161957","0.014878621324896812","0.02610284462571144","0.04975202158093452","0.04202558100223541","0.055860087275505066"
